response, saddr, daddr, sport, dport, seq, ack, in_cooldown, is_repeat, timestamp
echoreply, 197.254.212.248, 85.25.0.0, 0, 22392, 2827419648, 0, 0, 0,2013-09-25 21:50:24.180
echoreply, 196.29.161.11, 85.25.0.0, 0, 35947, 1939079168, 0, 0, 0,2013-09-25 21:50:24.197
echoreply, 197.251.68.72, 85.25.0.0, 0, 48277, 1131020288, 0, 0, 0,2013-09-25 21:50:24.276
unreach, 41.67.17.18, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-25 21:50:24.295
echoreply, 41.67.16.74, 85.25.0.0, 0, 55515, 656670720, 0, 0, 0,2013-09-25 21:50:24.296
timxceed, 41.67.52.1, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-25 21:50:24.297
echoreply, 41.78.109.25, 85.25.0.0, 0, 45057, 1342046208, 0, 0, 0,2013-09-25 21:50:24.300
echoreply, 41.78.110.66, 85.25.0.0, 0, 38467, 1773928448, 0, 0, 0,2013-09-25 21:50:24.321
echoreply, 196.29.187.158, 85.25.0.0, 0, 47358, 1191247872, 0, 0, 0,2013-09-25 21:50:24.327
echoreply, 41.67.49.2, 85.25.0.0, 0, 19527, 3015180288, 0, 0, 0,2013-09-25 21:50:24.331
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-25 21:50:24.341
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-25 21:50:24.349
echoreply, 196.29.176.71, 85.25.0.0, 0, 4272, 4014931968, 0, 0, 0,2013-09-25 21:50:24.357
timxceed, 196.29.164.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-25 21:50:24.369
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-25 21:50:24.373
timxceed, 41.67.20.66, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-25 21:50:24.380
echoreply, 196.29.176.189, 85.25.0.0, 0, 51140, 943390720, 0, 0, 0,2013-09-25 21:50:24.380
echoreply, 41.202.168.75, 85.25.0.0, 0, 54065, 751697920, 0, 0, 0,2013-09-25 21:50:24.388
echoreply, 41.67.39.4, 85.25.0.0, 0, 15454, 3282108416, 0, 0, 0,2013-09-25 21:50:24.396
unreach, 196.202.153.242, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-25 21:50:24.407
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-25 21:50:24.410
timxceed, 41.67.52.1, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-25 21:50:24.433
timxceed, 41.67.59.5, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-25 21:50:24.466
timxceed, 196.29.164.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-25 21:50:24.487
unreach, 196.32.209.114, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-25 21:50:24.517
unreach, 196.202.153.242, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-25 21:50:24.525
unreach, 196.29.175.14, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-25 21:50:24.548
timxceed, 41.67.52.2, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-25 21:50:24.559
