response, saddr, daddr, sport, dport, seq, ack, in_cooldown, is_repeat, timestamp
rst, 197.254.229.169, 85.25.0.0, 23, 46662, 0, 2845473352, 0, 0,2013-09-26 15:30:02.417
synack, 41.209.123.237, 85.25.0.0, 23, 47127, 2227740672, 291811606, 0, 0,2013-09-26 15:30:02.438
synack, 196.29.177.101, 85.25.0.0, 23, 57189, 4124761716, 2718026875, 0, 0,2013-09-26 15:30:02.449
synack, 41.209.70.7, 85.25.0.0, 23, 47159, 2314059776, 199799241, 0, 0,2013-09-26 15:30:02.503
synack, 41.209.114.176, 85.25.0.0, 23, 36495, 721502208, 2491862997, 0, 0,2013-09-26 15:30:02.532
synack, 41.209.121.68, 85.25.0.0, 23, 49142, 3097763840, 2369871076, 0, 0,2013-09-26 15:30:02.534
synack, 41.209.124.36, 85.25.0.0, 23, 47943, 3846053888, 729023925, 0, 0,2013-09-26 15:30:02.596
synack, 41.209.72.1, 85.25.0.0, 23, 57758, 2376909466, 3217060695, 0, 0,2013-09-26 15:30:02.596
synack, 212.0.147.225, 85.25.0.0, 23, 45394, 2451772162, 2142569439, 0, 0,2013-09-26 15:30:02.597
rst, 196.29.167.123, 85.25.0.0, 23, 33800, 0, 958477522, 0, 0,2013-09-26 15:30:02.677
synack, 41.209.117.239, 85.25.0.0, 23, 41923, 4177305600, 1066895445, 0, 0,2013-09-26 15:30:02.688
synack, 41.209.72.67, 85.25.0.0, 23, 45924, 1883455488, 3903512313, 0, 0,2013-09-26 15:30:02.704
synack, 41.209.72.179, 85.25.0.0, 23, 51905, 3503595520, 3658669012, 0, 0,2013-09-26 15:30:02.727
synack, 41.209.68.61, 85.25.0.0, 23, 60114, 3581468672, 2394808508, 0, 0,2013-09-26 15:30:02.731
synack, 196.202.152.86, 85.25.0.0, 23, 40768, 4285718560, 72709985, 0, 0,2013-09-26 15:30:02.735
rst, 41.67.35.8, 85.25.0.0, 23, 49367, 0, 4206526300, 0, 0,2013-09-26 15:30:02.747
synack, 41.209.72.29, 85.25.0.0, 23, 39389, 342220800, 2557563840, 0, 0,2013-09-26 15:30:02.748
synack, 41.209.70.49, 85.25.0.0, 23, 57991, 1444814848, 2320196812, 0, 0,2013-09-26 15:30:02.754
rst, 196.29.186.167, 85.25.0.0, 23, 38751, 0, 2214306459, 0, 0,2013-09-26 15:30:02.760
rst, 41.202.160.25, 85.25.0.0, 23, 37125, 0, 1178588597, 0, 0,2013-09-26 15:30:02.775
synack, 41.209.68.245, 85.25.0.0, 23, 45179, 3325386752, 2314519756, 0, 0,2013-09-26 15:30:02.787
rst, 196.29.168.206, 85.25.0.0, 23, 33730, 0, 4018188435, 0, 0,2013-09-26 15:30:02.818
synack, 41.209.72.53, 85.25.0.0, 23, 48190, 1347813376, 3145339629, 0, 0,2013-09-26 15:30:02.836
synack, 41.209.72.221, 85.25.0.0, 23, 45772, 3557851136, 591345441, 0, 0,2013-09-26 15:30:02.850
synack, 41.209.80.212, 85.25.0.0, 23, 45518, 693682176, 1842325993, 0, 0,2013-09-26 15:30:02.879
rst, 197.254.212.61, 85.25.0.0, 23, 60495, 0, 4101250149, 0, 0,2013-09-26 15:30:02.883
synack, 41.209.70.169, 85.25.0.0, 23, 57260, 614055936, 1630902622, 0, 0,2013-09-26 15:30:02.897
synack, 41.209.70.2, 85.25.0.0, 23, 53641, 790896640, 1287442726, 0, 0,2013-09-26 15:30:02.920
