response, saddr, daddr, sport, dport, seq, ack, in_cooldown, is_repeat, timestamp
rst, 196.29.176.158, 85.25.0.0, 23, 50915, 0, 1238914644, 0, 0,2013-09-26 01:30:01.832
synack, 41.202.168.52, 85.25.0.0, 23, 45916, 3629634672, 3588536502, 0, 0,2013-09-26 01:30:01.913
rst, 41.202.160.87, 85.25.0.0, 23, 57833, 0, 2611280, 0, 0,2013-09-26 01:30:01.919
synack, 196.29.164.42, 85.25.0.0, 23, 35219, 189098138, 1900080210, 0, 0,2013-09-26 01:30:01.927
rst, 197.254.213.214, 85.25.0.0, 23, 46454, 0, 2259273479, 0, 0,2013-09-26 01:30:01.933
rst, 197.254.213.68, 85.25.0.0, 23, 52125, 0, 920916763, 0, 0,2013-09-26 01:30:01.938
rst, 196.29.186.189, 85.25.0.0, 23, 32807, 0, 3143728525, 0, 0,2013-09-26 01:30:02.022
rst, 196.29.167.59, 85.25.0.0, 23, 33036, 0, 2477161760, 0, 0,2013-09-26 01:30:02.092
synack, 41.202.166.37, 85.25.0.0, 23, 38263, 2849127991, 1476412816, 0, 0,2013-09-26 01:30:02.149
rst, 196.29.163.230, 85.25.0.0, 23, 49916, 1, 2561078380, 0, 0,2013-09-26 01:30:02.160
synack, 41.202.166.40, 85.25.0.0, 23, 55044, 2591684955, 3618579812, 0, 0,2013-09-26 01:30:02.192
rst, 196.29.186.33, 85.25.0.0, 23, 57864, 0, 557748455, 0, 0,2013-09-26 01:30:02.238
rst, 41.67.53.152, 85.25.0.0, 23, 41679, 0, 3489963871, 0, 0,2013-09-26 01:30:02.247
rst, 196.29.163.27, 85.25.0.0, 23, 58203, 1, 1390572127, 0, 0,2013-09-26 01:30:02.304
rst, 41.67.53.137, 85.25.0.0, 23, 49313, 0, 901598974, 0, 0,2013-09-26 01:30:02.326
synack, 196.29.174.1, 85.25.0.0, 23, 33058, 506896070, 1915583398, 0, 0,2013-09-26 01:30:02.355
rst, 41.202.161.63, 85.25.0.0, 23, 57735, 0, 4217527124, 0, 0,2013-09-26 01:30:02.396
rst, 197.254.212.219, 85.25.0.0, 23, 42152, 0, 3804456110, 0, 0,2013-09-26 01:30:02.396
synack, 41.202.163.33, 85.25.0.0, 23, 60500, 3576197794, 2745451836, 0, 0,2013-09-26 01:30:02.397
rst, 196.29.167.189, 85.25.0.0, 23, 45322, 0, 1534310078, 0, 0,2013-09-26 01:30:02.399
rst, 197.254.212.88, 85.25.0.0, 23, 47123, 0, 863140744, 0, 0,2013-09-26 01:30:02.439
rst, 197.254.212.60, 85.25.0.0, 23, 39133, 0, 3054381346, 0, 0,2013-09-26 01:30:02.479
rst, 197.254.212.168, 85.25.0.0, 23, 60335, 0, 3499187513, 0, 0,2013-09-26 01:30:02.539
rst, 196.29.176.91, 85.25.0.0, 23, 41542, 0, 2369560216, 0, 0,2013-09-26 01:30:02.549
rst, 196.29.174.179, 85.25.0.0, 23, 39530, 0, 1230594730, 0, 0,2013-09-26 01:30:02.594
rst, 197.254.255.166, 85.25.0.0, 23, 60992, 0, 583466059, 0, 0,2013-09-26 01:30:02.623
rst, 196.29.176.6, 85.25.0.0, 23, 47465, 0, 2120031790, 0, 0,2013-09-26 01:30:02.652
synack, 196.29.161.57, 85.25.0.0, 23, 54034, 3438260119, 1818418473, 0, 0,2013-09-26 01:30:02.698
rst, 196.29.162.129, 85.25.0.0, 23, 36877, 0, 3180463674, 0, 0,2013-09-26 01:30:02.699
rst, 196.29.177.48, 85.25.0.0, 23, 39568, 0, 3593444582, 0, 0,2013-09-26 01:30:02.704
rst, 196.29.185.11, 85.25.0.0, 23, 51380, 0, 20998969, 0, 0,2013-09-26 01:30:02.707
synack, 196.29.190.10, 85.25.0.0, 23, 35950, 2282029055, 1289753059, 0, 0,2013-09-26 01:30:02.740
synack, 41.202.168.26, 85.25.0.0, 23, 49244, 1695196534, 889688297, 0, 0,2013-09-26 01:30:02.767
rst, 196.29.163.74, 85.25.0.0, 23, 56715, 1, 2917909939, 0, 0,2013-09-26 01:30:02.793
rst, 197.254.212.248, 85.25.0.0, 23, 54656, 0, 3236653038, 0, 0,2013-09-26 01:30:02.806
rst, 196.29.161.40, 85.25.0.0, 23, 56551, 0, 3163123732, 0, 0,2013-09-26 01:30:02.810
synack, 196.29.177.45, 85.25.0.0, 23, 51337, 2998254164, 468869257, 0, 0,2013-09-26 01:30:02.811
synack, 196.29.191.8, 85.25.0.0, 23, 56990, 665143267, 1395454533, 0, 0,2013-09-26 01:30:02.829
rst, 196.29.168.111, 85.25.0.0, 23, 51955, 0, 1882226792, 0, 0,2013-09-26 01:30:02.830
rst, 196.29.185.189, 85.25.0.0, 23, 39288, 0, 2668437979, 0, 0,2013-09-26 01:30:02.841
synack, 41.67.53.10, 85.25.0.0, 23, 34649, 2024759367, 867330968, 0, 0,2013-09-26 01:30:02.879
synack, 41.202.166.111, 85.25.0.0, 23, 46381, 2661361355, 2077017801, 0, 0,2013-09-26 01:30:02.891
rst, 196.29.190.10, 85.25.0.0, 23, 35950, 2282029056, 1289753059, 0, 1,2013-09-26 01:30:02.919
rst, 41.78.109.1, 85.25.0.0, 23, 51068, 0, 2837118791, 0, 0,2013-09-26 01:30:02.998
rst, 196.29.191.8, 85.25.0.0, 23, 56990, 665143268, 1395454533, 0, 1,2013-09-26 01:30:03.016
rst, 197.254.212.173, 85.25.0.0, 23, 57669, 0, 4077318998, 0, 0,2013-09-26 01:30:03.117
synack, 196.29.161.249, 85.25.0.0, 23, 59559, 1962319242, 2040401911, 0, 0,2013-09-26 01:30:03.125
rst, 197.254.253.230, 85.25.0.0, 23, 43223, 0, 2707323048, 0, 0,2013-09-26 01:30:03.140
synack, 196.202.139.138, 85.25.0.0, 23, 34688, 1424556964, 486314134, 0, 0,2013-09-26 01:30:03.303
rst, 197.254.212.213, 85.25.0.0, 23, 51037, 0, 1319685119, 0, 0,2013-09-26 01:30:03.312
rst, 196.29.160.192, 85.25.0.0, 23, 56288, 0, 4156068428, 0, 0,2013-09-26 01:30:03.355
rst, 197.254.212.209, 85.25.0.0, 23, 34164, 0, 1912595088, 0, 0,2013-09-26 01:30:03.373
rst, 197.254.213.13, 85.25.0.0, 23, 50069, 0, 3593457853, 0, 0,2013-09-26 01:30:03.410
rst, 196.29.163.71, 85.25.0.0, 23, 41598, 1, 2319197763, 0, 0,2013-09-26 01:30:03.433
rst, 41.67.53.26, 85.25.0.0, 23, 45272, 0, 1523797263, 0, 0,2013-09-26 01:30:03.532
rst, 197.254.212.115, 85.25.0.0, 23, 47678, 0, 1581990640, 0, 0,2013-09-26 01:30:03.567
rst, 197.254.213.36, 85.25.0.0, 23, 40353, 0, 684956888, 0, 0,2013-09-26 01:30:03.589
synack, 41.202.168.41, 85.25.0.0, 23, 49097, 2888620024, 25627595, 0, 0,2013-09-26 01:30:03.631
rst, 197.254.212.140, 85.25.0.0, 23, 34183, 0, 3297010197, 0, 0,2013-09-26 01:30:03.678
synack, 41.67.16.126, 85.25.0.0, 23, 32799, 2185168672, 258140422, 0, 0,2013-09-26 01:30:03.739
rst, 196.29.161.200, 85.25.0.0, 23, 57327, 0, 1479573061, 0, 0,2013-09-26 01:30:03.807
rst, 196.29.163.86, 85.25.0.0, 23, 33876, 1, 860557219, 0, 0,2013-09-26 01:30:03.880
rst, 197.254.213.1, 85.25.0.0, 23, 35845, 0, 1208930463, 0, 0,2013-09-26 01:30:03.911
synack, 41.202.166.143, 85.25.0.0, 23, 51310, 1956652657, 910558938, 0, 0,2013-09-26 01:30:03.914
rst, 197.254.229.69, 85.25.0.0, 23, 44789, 0, 3370328481, 0, 0,2013-09-26 01:30:03.931
rst, 196.29.163.81, 85.25.0.0, 23, 34661, 1, 3781281290, 0, 0,2013-09-26 01:30:04.069
rst, 41.202.161.99, 85.25.0.0, 23, 50722, 0, 1329748084, 0, 0,2013-09-26 01:30:04.112
rst, 197.254.255.247, 85.25.0.0, 23, 57871, 0, 4276194051, 0, 0,2013-09-26 01:30:04.144
rst, 197.254.213.18, 85.25.0.0, 23, 47620, 0, 3572252807, 0, 0,2013-09-26 01:30:04.292
synack, 196.29.161.17, 85.25.0.0, 23, 34816, 1833112247, 2013071853, 0, 0,2013-09-26 01:30:04.327
rst, 196.29.179.217, 85.25.0.0, 23, 47284, 0, 2083548446, 0, 0,2013-09-26 01:30:04.332
rst, 196.1.219.96, 85.25.0.0, 23, 36666, 0, 2547893640, 0, 0,2013-09-26 01:30:04.391
synack, 196.29.177.57, 85.25.0.0, 23, 39236, 1957525533, 4263385932, 0, 0,2013-09-26 01:30:04.402
rst, 196.29.168.11, 85.25.0.0, 23, 56071, 0, 284367500, 0, 0,2013-09-26 01:30:04.428
rst, 196.29.179.169, 85.25.0.0, 23, 55167, 0, 2643957340, 0, 0,2013-09-26 01:30:04.454
synack, 196.1.219.145, 85.25.0.0, 23, 60466, 3910966214, 1880563177, 0, 0,2013-09-26 01:30:04.486
synack, 196.29.176.153, 85.25.0.0, 23, 46371, 1335017514, 2244201888, 0, 0,2013-09-26 01:30:04.507
rst, 196.29.185.213, 85.25.0.0, 23, 36662, 0, 2009885767, 0, 0,2013-09-26 01:30:04.524
rst, 197.254.213.179, 85.25.0.0, 23, 49316, 0, 2517710814, 0, 0,2013-09-26 01:30:04.546
synack, 196.29.185.190, 85.25.0.0, 23, 55075, 3652504178, 2001733409, 0, 0,2013-09-26 01:30:04.568
rst, 196.29.176.128, 85.25.0.0, 23, 43799, 0, 1619448482, 0, 0,2013-09-26 01:30:04.571
synack, 41.202.166.146, 85.25.0.0, 23, 39594, 1780473463, 1129727256, 0, 0,2013-09-26 01:30:04.578
synack, 41.67.59.6, 85.25.0.0, 23, 45266, 1042126879, 1198705056, 0, 0,2013-09-26 01:30:04.617
synack, 196.29.190.217, 85.25.0.0, 23, 51611, 819961328, 1952698768, 0, 0,2013-09-26 01:30:04.641
rst, 197.254.251.98, 85.25.0.0, 23, 47303, 0, 3770052378, 0, 0,2013-09-26 01:30:04.696
synack, 41.202.168.35, 85.25.0.0, 23, 35379, 2631353549, 1979254652, 0, 0,2013-09-26 01:30:04.723
rst, 196.29.190.217, 85.25.0.0, 23, 51611, 819961329, 1952698768, 0, 1,2013-09-26 01:30:04.786
rst, 197.254.212.42, 85.25.0.0, 23, 48278, 0, 4023780496, 0, 0,2013-09-26 01:30:04.832
synack, 41.202.162.173, 85.25.0.0, 23, 49087, 4052695664, 3534503228, 0, 0,2013-09-26 01:30:04.875
rst, 196.29.167.171, 85.25.0.0, 23, 41526, 0, 1913534343, 0, 0,2013-09-26 01:30:04.970
rst, 197.254.213.236, 85.25.0.0, 23, 50814, 0, 3228483276, 0, 0,2013-09-26 01:30:04.998
rst, 197.254.213.233, 85.25.0.0, 23, 60798, 0, 721054465, 0, 0,2013-09-26 01:30:05.009
rst, 196.29.179.244, 85.25.0.0, 23, 47010, 0, 940702694, 0, 0,2013-09-26 01:30:05.032
synack, 196.29.191.67, 85.25.0.0, 23, 34036, 577556567, 1679908341, 0, 0,2013-09-26 01:30:05.082
rst, 197.254.213.24, 85.25.0.0, 23, 59502, 0, 4145592657, 0, 0,2013-09-26 01:30:05.219
rst, 196.29.191.67, 85.25.0.0, 23, 34036, 577556568, 1679908341, 0, 1,2013-09-26 01:30:05.256
synack, 196.29.186.246, 85.25.0.0, 23, 50345, 1333770717, 446888748, 0, 0,2013-09-26 01:30:05.260
rst, 41.202.161.19, 85.25.0.0, 23, 34841, 0, 2860036227, 0, 0,2013-09-26 01:30:05.275
