response, saddr, daddr, sport, dport, seq, ack, in_cooldown, is_repeat, timestamp
unreach, 196.29.175.14, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 06:20:24.746
echoreply, 197.254.212.123, 85.25.0.0, 0, 60497, 330170368, 0, 0, 0,2013-09-26 06:20:24.816
echoreply, 197.254.212.128, 85.25.0.0, 0, 28301, 2440167424, 0, 0, 0,2013-09-26 06:20:24.825
timxceed, 41.67.52.2, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 06:20:24.868
echoreply, 197.254.213.217, 85.25.0.0, 0, 57276, 541261824, 0, 0, 0,2013-09-26 06:20:24.871
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 06:20:24.878
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 06:20:24.884
echoreply, 41.202.166.64, 85.25.0.0, 0, 35045, 1998192640, 0, 0, 0,2013-09-26 06:20:24.935
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 06:20:24.952
unreach, 196.29.175.18, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 06:20:24.954
echoreply, 196.29.176.23, 85.25.0.0, 0, 45163, 1335099392, 0, 0, 0,2013-09-26 06:20:24.965
echoreply, 41.202.166.11, 85.25.0.0, 0, 32751, 2148532224, 0, 0, 0,2013-09-26 06:20:24.974
echoreply, 197.254.212.216, 85.25.0.0, 0, 28368, 2435776512, 0, 0, 0,2013-09-26 06:20:24.983
echoreply, 41.202.166.222, 85.25.0.0, 0, 54020, 754647040, 0, 0, 0,2013-09-26 06:20:24.989
echoreply, 197.251.24.1, 85.25.0.0, 0, 59445, 399114240, 0, 0, 0,2013-09-26 06:20:25.001
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 06:20:25.006
unreach, 196.32.209.114, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 06:20:25.039
echoreply, 196.1.198.113, 85.25.0.0, 0, 24081, 2716729344, 0, 0, 0,2013-09-26 06:20:25.043
timxceed, 196.29.176.74, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 06:20:25.068
