response, saddr, daddr, sport, dport, seq, ack, in_cooldown, is_repeat, timestamp
echoreply, 196.29.186.34, 85.25.0.0, 0, 16732, 3198353408, 0, 0, 0,2013-09-26 10:50:24.470
echoreply, 41.202.166.62, 85.25.0.0, 0, 62533, 196739072, 0, 0, 0,2013-09-26 10:50:24.530
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 10:50:24.562
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 10:50:24.624
echoreply, 196.29.166.28, 85.25.0.0, 0, 31877, 2205810688, 0, 0, 0,2013-09-26 10:50:24.635
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 10:50:24.714
echoreply, 41.202.168.17, 85.25.0.0, 0, 6718, 3854630912, 0, 0, 0,2013-09-26 10:50:24.757
echoreply, 196.202.139.233, 85.25.0.0, 0, 12621, 3467771904, 0, 0, 0,2013-09-26 10:50:24.771
echoreply, 196.29.186.187, 85.25.0.0, 0, 34862, 2010185728, 0, 0, 0,2013-09-26 10:50:24.779
timxceed, 197.251.125.66, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 10:50:24.786
unreach, 196.32.209.114, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 10:50:24.791
echoreply, 41.67.53.157, 85.25.0.0, 0, 27536, 2490302464, 0, 0, 0,2013-09-26 10:50:24.828
echoreply, 196.29.167.46, 85.25.0.0, 0, 22827, 2798911488, 0, 0, 0,2013-09-26 10:50:24.834
timxceed, 197.251.125.66, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 10:50:24.849
unreach, 196.29.175.18, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 10:50:24.875
echoreply, 196.1.198.186, 85.25.0.0, 0, 34282, 2048196608, 0, 0, 0,2013-09-26 10:50:24.950
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 10:50:24.956
echoreply, 41.202.166.11, 85.25.0.0, 0, 32842, 2142568448, 0, 0, 0,2013-09-26 10:50:24.998
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 10:50:25.017
echoreply, 196.29.185.63, 85.25.0.0, 0, 37389, 1844576256, 0, 0, 0,2013-09-26 10:50:25.048
echoreply, 196.29.178.3, 85.25.0.0, 0, 18488, 3083272192, 0, 0, 0,2013-09-26 10:50:25.116
echoreply, 196.29.161.245, 85.25.0.0, 0, 60827, 308543488, 0, 0, 0,2013-09-26 10:50:25.142
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 10:50:25.165
unreach, 196.29.175.14, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 10:50:25.174
timxceed, 197.251.125.66, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 10:50:25.178
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 10:50:25.183
timxceed, 196.29.167.26, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 10:50:25.183
timxceed, 41.67.20.66, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 10:50:25.242
timxceed, 196.29.168.29, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 10:50:25.262
echoreply, 41.202.163.89, 85.25.0.0, 0, 24849, 2666397696, 0, 0, 0,2013-09-26 10:50:25.265
echoreply, 196.29.164.162, 85.25.0.0, 0, 10684, 3594715136, 0, 0, 0,2013-09-26 10:50:25.273
timxceed, 196.29.164.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 10:50:25.273
unreach, 196.32.209.114, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 10:50:25.294
