response, saddr, daddr, sport, dport, seq, ack, in_cooldown, is_repeat, timestamp
synack, 196.29.185.34, 85.25.0.0, 23, 41091, 914583724, 831575521, 0, 0,2013-09-26 13:30:02.251
synack, 41.209.115.1, 85.25.0.0, 23, 52653, 2450307254, 4137665377, 0, 0,2013-09-26 13:30:02.297
rst, 197.254.212.184, 85.25.0.0, 23, 50434, 0, 2669700168, 0, 0,2013-09-26 13:30:02.307
synack, 41.209.119.242, 85.25.0.0, 23, 58179, 2177179648, 1485458630, 0, 0,2013-09-26 13:30:02.322
synack, 41.209.117.75, 85.25.0.0, 23, 48245, 2088288256, 3502069794, 0, 0,2013-09-26 13:30:02.333
synack, 41.209.72.243, 85.25.0.0, 23, 59893, 1546190848, 2661801970, 0, 0,2013-09-26 13:30:02.335
synack, 41.209.120.105, 85.25.0.0, 23, 43315, 687702016, 4122357576, 0, 0,2013-09-26 13:30:02.356
rst, 41.209.70.129, 85.25.0.0, 23, 37656, 0, 3546409561, 0, 0,2013-09-26 13:30:02.382
synack, 41.209.124.31, 85.25.0.0, 23, 35061, 2724331520, 3784003031, 0, 0,2013-09-26 13:30:02.398
rst, 197.254.212.35, 85.25.0.0, 23, 51594, 0, 2891816153, 0, 0,2013-09-26 13:30:02.422
synack, 41.209.112.138, 85.25.0.0, 23, 45976, 566124544, 131738460, 0, 0,2013-09-26 13:30:02.450
synack, 41.209.80.91, 85.25.0.0, 23, 39396, 1722966016, 2404783502, 0, 0,2013-09-26 13:30:02.455
synack, 41.209.118.27, 85.25.0.0, 23, 41228, 3435601920, 2268038632, 0, 0,2013-09-26 13:30:02.484
rst, 196.29.167.169, 85.25.0.0, 23, 44751, 0, 3412432503, 0, 0,2013-09-26 13:30:02.490
rst, 196.29.163.44, 85.25.0.0, 23, 53150, 1, 4053073706, 0, 0,2013-09-26 13:30:02.493
rst, 41.67.44.13, 85.25.0.0, 23, 33109, 0, 3019666357, 0, 0,2013-09-26 13:30:02.494
synack, 41.209.114.55, 85.25.0.0, 23, 54693, 521846784, 3545218283, 0, 0,2013-09-26 13:30:02.511
rst, 197.254.212.223, 85.25.0.0, 23, 36493, 0, 1653442528, 0, 0,2013-09-26 13:30:02.516
synack, 41.209.80.181, 85.25.0.0, 23, 56696, 2615181312, 810233486, 0, 0,2013-09-26 13:30:02.525
synack, 41.209.80.53, 85.25.0.0, 23, 39344, 1705402368, 1405890052, 0, 0,2013-09-26 13:30:02.529
rst, 196.29.163.85, 85.25.0.0, 23, 38541, 1, 2649019466, 0, 0,2013-09-26 13:30:02.541
rst, 196.202.152.116, 85.25.0.0, 23, 47677, 0, 3195175469, 0, 0,2013-09-26 13:30:02.543
rst, 197.254.212.19, 85.25.0.0, 23, 53736, 0, 3992294789, 0, 0,2013-09-26 13:30:02.582
synack, 41.209.112.87, 85.25.0.0, 23, 46172, 2715475968, 518764234, 0, 0,2013-09-26 13:30:02.591
rst, 196.202.155.127, 85.25.0.0, 23, 48069, 0, 3803776864, 0, 0,2013-09-26 13:30:02.597
rst, 196.29.186.138, 85.25.0.0, 23, 55725, 0, 3958441946, 0, 0,2013-09-26 13:30:02.610
rst, 196.29.167.171, 85.25.0.0, 23, 47837, 0, 2527255883, 0, 0,2013-09-26 13:30:02.620
synack, 41.209.81.41, 85.25.0.0, 23, 60082, 1079296000, 815714537, 0, 0,2013-09-26 13:30:02.622
synack, 41.209.81.201, 85.25.0.0, 23, 58613, 619749376, 816392346, 0, 0,2013-09-26 13:30:02.623
synack, 41.209.124.108, 85.25.0.0, 23, 55777, 35692544, 220684189, 0, 0,2013-09-26 13:30:02.629
synack, 41.209.81.50, 85.25.0.0, 23, 44292, 1362010112, 1113697803, 0, 0,2013-09-26 13:30:02.637
rst, 196.29.185.5, 85.25.0.0, 23, 33190, 0, 508791099, 0, 0,2013-09-26 13:30:02.652
synack, 196.202.134.6, 85.25.0.0, 23, 40234, 142014447, 1360128996, 0, 0,2013-09-26 13:30:02.665
synack, 196.202.139.146, 85.25.0.0, 23, 57351, 2519029668, 2156262354, 0, 0,2013-09-26 13:30:02.706
synack, 41.209.70.29, 85.25.0.0, 23, 34800, 48480256, 2012952820, 0, 0,2013-09-26 13:30:02.706
rst, 196.1.211.172, 85.25.0.0, 23, 39174, 0, 663385148, 0, 0,2013-09-26 13:30:02.707
synack, 41.209.118.231, 85.25.0.0, 23, 51644, 1366900736, 2357791994, 0, 0,2013-09-26 13:30:02.713
synack, 41.209.81.139, 85.25.0.0, 23, 45973, 2675073024, 2412530347, 0, 0,2013-09-26 13:30:02.715
synack, 197.254.243.108, 85.25.0.0, 23, 58970, 1069422792, 2850116564, 0, 0,2013-09-26 13:30:02.717
synack, 41.209.122.60, 85.25.0.0, 23, 35959, 3670745088, 1353735685, 0, 0,2013-09-26 13:30:02.741
rst, 196.29.163.82, 85.25.0.0, 23, 37516, 1, 2425434782, 0, 0,2013-09-26 13:30:02.795
synack, 41.209.80.154, 85.25.0.0, 23, 49600, 1844731904, 1053884249, 0, 0,2013-09-26 13:30:02.800
rst, 41.78.109.29, 85.25.0.0, 23, 54751, 0, 2957931461, 0, 0,2013-09-26 13:30:02.802
rst, 196.29.167.141, 85.25.0.0, 23, 59191, 0, 2628362787, 0, 0,2013-09-26 13:30:02.805
synack, 41.209.122.11, 85.25.0.0, 23, 37685, 775905280, 2777218730, 0, 0,2013-09-26 13:30:02.862
synack, 196.29.160.57, 85.25.0.0, 23, 40449, 1863700965, 773976491, 0, 0,2013-09-26 13:30:02.867
rst, 197.254.239.9, 85.25.0.0, 23, 60039, 0, 2898325295, 0, 0,2013-09-26 13:30:02.867
synack, 41.209.73.141, 85.25.0.0, 23, 40086, 2868731904, 2591372231, 0, 0,2013-09-26 13:30:02.892
synack, 41.209.72.32, 85.25.0.0, 23, 57252, 3321798656, 1195586130, 0, 0,2013-09-26 13:30:02.932
synack, 41.209.73.177, 85.25.0.0, 23, 39368, 173867008, 2431057387, 0, 0,2013-09-26 13:30:02.933
synack, 41.209.112.104, 85.25.0.0, 23, 37153, 1955061760, 2792486925, 0, 0,2013-09-26 13:30:02.937
rst, 41.202.163.15, 85.25.0.0, 23, 58605, 0, 2110077709, 0, 0,2013-09-26 13:30:02.952
rst, 196.29.175.194, 85.25.0.0, 23, 47339, 0, 2177513589, 0, 0,2013-09-26 13:30:02.970
synack, 41.209.121.93, 85.25.0.0, 23, 38205, 22855680, 2913438235, 0, 0,2013-09-26 13:30:02.989
synack, 41.209.81.228, 85.25.0.0, 23, 42334, 1687658496, 3851951379, 0, 0,2013-09-26 13:30:03.002
synack, 212.0.141.77, 85.25.0.0, 23, 40920, 4100023308, 930291743, 0, 0,2013-09-26 13:30:03.009
synack, 41.209.120.189, 85.25.0.0, 23, 33620, 1366966272, 4224409069, 0, 0,2013-09-26 13:30:03.017
rst, 197.254.212.164, 85.25.0.0, 23, 57673, 0, 3658026634, 0, 0,2013-09-26 13:30:03.019
synack, 196.29.187.220, 85.25.0.0, 23, 34035, 1868764192, 3430513064, 0, 0,2013-09-26 13:30:03.039
synack, 41.209.119.196, 85.25.0.0, 23, 45232, 1098440704, 3131359548, 0, 0,2013-09-26 13:30:03.062
rst, 197.254.213.245, 85.25.0.0, 23, 39121, 0, 1980962255, 0, 0,2013-09-26 13:30:03.068
synack, 41.209.120.235, 85.25.0.0, 23, 39726, 2310225920, 3261928842, 0, 0,2013-09-26 13:30:03.069
rst, 196.29.166.129, 85.25.0.0, 23, 46889, 0, 1558132818, 0, 0,2013-09-26 13:30:03.099
synack, 41.209.121.103, 85.25.0.0, 23, 54394, 820748288, 483770385, 0, 0,2013-09-26 13:30:03.107
rst, 196.1.236.239, 85.25.0.0, 23, 36763, 0, 2009128465, 0, 0,2013-09-26 13:30:03.108
rst, 197.254.253.71, 85.25.0.0, 23, 49273, 0, 1128836355, 0, 0,2013-09-26 13:30:03.110
synack, 41.209.120.212, 85.25.0.0, 23, 50362, 1885052928, 3930013441, 0, 0,2013-09-26 13:30:03.112
synack, 41.209.122.102, 85.25.0.0, 23, 60951, 448348160, 2408920911, 0, 0,2013-09-26 13:30:03.116
rst, 196.29.176.207, 85.25.0.0, 23, 45257, 0, 913182167, 0, 0,2013-09-26 13:30:03.117
synack, 41.209.113.106, 85.25.0.0, 23, 57869, 4056088576, 1579756754, 0, 0,2013-09-26 13:30:03.130
rst, 196.29.179.164, 85.25.0.0, 23, 39957, 0, 3808548600, 0, 0,2013-09-26 13:30:03.130
rst, 41.78.109.13, 85.25.0.0, 23, 35275, 0, 2658391709, 0, 0,2013-09-26 13:30:03.139
synack, 41.209.68.220, 85.25.0.0, 23, 45571, 941400064, 2643739371, 0, 0,2013-09-26 13:30:03.156
rst, 196.202.140.104, 85.25.0.0, 23, 54731, 0, 664751008, 0, 0,2013-09-26 13:30:03.163
synack, 41.209.113.253, 85.25.0.0, 23, 43272, 3400818688, 3640287335, 0, 0,2013-09-26 13:30:03.166
rst, 197.254.253.75, 85.25.0.0, 23, 52101, 0, 2002095531, 0, 0,2013-09-26 13:30:03.186
rst, 212.0.139.240, 85.25.0.0, 23, 55224, 0, 3093593825, 0, 0,2013-09-26 13:30:03.197
synack, 196.29.191.161, 85.25.0.0, 23, 55268, 1301776254, 2660583487, 0, 0,2013-09-26 13:30:03.198
rst, 212.0.137.31, 85.25.0.0, 23, 44727, 0, 3527429763, 0, 0,2013-09-26 13:30:03.201
rst, 197.254.213.251, 85.25.0.0, 23, 37325, 0, 3086694524, 0, 0,2013-09-26 13:30:03.204
rst, 197.251.11.255, 85.25.0.0, 23, 41137, 0, 1431646986, 0, 0,2013-09-26 13:30:03.218
synack, 196.202.155.77, 85.25.0.0, 23, 33185, 3742558886, 2850988298, 0, 0,2013-09-26 13:30:03.225
rst, 41.218.36.212, 85.25.0.0, 23, 54860, 0, 4112023950, 0, 0,2013-09-26 13:30:03.234
synack, 41.209.70.107, 85.25.0.0, 23, 36545, 4137443328, 2384620289, 0, 0,2013-09-26 13:30:03.239
synack, 196.1.211.173, 85.25.0.0, 23, 47175, 2413919919, 1752145392, 0, 0,2013-09-26 13:30:03.240
synack, 41.209.121.14, 85.25.0.0, 23, 55186, 3180920832, 3588780192, 0, 0,2013-09-26 13:30:03.286
synack, 41.209.118.235, 85.25.0.0, 23, 56744, 3511877632, 2625286926, 0, 0,2013-09-26 13:30:03.288
rst, 196.29.191.161, 85.25.0.0, 23, 55268, 1301776255, 2660583487, 0, 1,2013-09-26 13:30:03.324
rst, 197.254.242.215, 85.25.0.0, 23, 55635, 0, 1822227308, 0, 0,2013-09-26 13:30:03.339
rst, 41.202.172.22, 85.25.0.0, 23, 60866, 0, 2553873798, 0, 0,2013-09-26 13:30:03.362
synack, 41.209.70.96, 85.25.0.0, 23, 55917, 2157207552, 1482013546, 0, 0,2013-09-26 13:30:03.389
synack, 41.209.119.170, 85.25.0.0, 23, 48674, 3160645632, 2030441422, 0, 0,2013-09-26 13:30:03.391
synack, 41.209.121.246, 85.25.0.0, 23, 46867, 2461409280, 3364545022, 0, 0,2013-09-26 13:30:03.397
rst, 41.202.160.107, 85.25.0.0, 23, 45480, 0, 3705497660, 0, 0,2013-09-26 13:30:03.401
synack, 41.209.114.3, 85.25.0.0, 23, 54674, 464420864, 1974106147, 0, 0,2013-09-26 13:30:03.431
synack, 41.209.69.51, 85.25.0.0, 23, 51253, 549912576, 1502692902, 0, 0,2013-09-26 13:30:03.446
synack, 41.209.74.3, 85.25.0.0, 23, 43208, 900497408, 4023535979, 0, 0,2013-09-26 13:30:03.467
synack, 41.209.118.76, 85.25.0.0, 23, 41682, 4078673920, 2060109162, 0, 0,2013-09-26 13:30:03.476
synack, 41.209.73.85, 85.25.0.0, 23, 58873, 1407049728, 947848551, 0, 0,2013-09-26 13:30:03.478
rst, 196.29.186.57, 85.25.0.0, 23, 38275, 0, 3878599237, 0, 0,2013-09-26 13:30:03.484
rst, 212.0.140.14, 85.25.0.0, 23, 42026, 0, 396325994, 0, 0,2013-09-26 13:30:03.486
synack, 41.209.73.210, 85.25.0.0, 23, 48107, 4165033984, 2099342687, 0, 0,2013-09-26 13:30:03.499
synack, 41.209.124.152, 85.25.0.0, 23, 43742, 2882699264, 3920080939, 0, 0,2013-09-26 13:30:03.504
synack, 41.209.121.97, 85.25.0.0, 23, 48361, 1945534464, 61601802, 0, 0,2013-09-26 13:30:03.507
synack, 41.209.81.84, 85.25.0.0, 23, 41526, 1973583872, 1690528195, 0, 0,2013-09-26 13:30:03.509
rst, 197.254.212.169, 85.25.0.0, 23, 42041, 0, 2923701471, 0, 0,2013-09-26 13:30:03.511
synack, 41.209.113.164, 85.25.0.0, 23, 44393, 571269120, 3715827630, 0, 0,2013-09-26 13:30:03.523
synack, 41.209.74.239, 85.25.0.0, 23, 37367, 3357523968, 3705038402, 0, 0,2013-09-26 13:30:03.529
synack, 41.209.113.196, 85.25.0.0, 23, 41120, 942260224, 1653897096, 0, 0,2013-09-26 13:30:03.531
rst, 41.202.161.155, 85.25.0.0, 23, 42186, 0, 3677860000, 0, 0,2013-09-26 13:30:03.548
synack, 41.209.122.100, 85.25.0.0, 23, 39871, 4211032064, 1944329482, 0, 0,2013-09-26 13:30:03.563
synack, 196.202.134.161, 85.25.0.0, 23, 32809, 419954226, 3845967964, 0, 0,2013-09-26 13:30:03.583
synack, 41.209.112.105, 85.25.0.0, 23, 39855, 3784155136, 1375638311, 0, 0,2013-09-26 13:30:03.601
synack, 196.1.237.153, 85.25.0.0, 23, 43486, 2856864163, 4134188353, 0, 0,2013-09-26 13:30:03.613
synack, 41.209.80.1, 85.25.0.0, 23, 42328, 1445005466, 2349349919, 0, 0,2013-09-26 13:30:03.619
