response, saddr, daddr, sport, dport, seq, ack, in_cooldown, is_repeat, timestamp
echoreply, 196.29.186.113, 85.25.0.0, 0, 20177, 2972581888, 0, 0, 0,2013-09-26 08:50:24.107
unreach, 196.32.209.114, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 08:50:24.169
timxceed, 196.29.164.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 08:50:24.188
unreach, 196.202.153.242, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 08:50:24.222
unreach, 196.202.153.242, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 08:50:24.237
echoreply, 41.202.160.95, 85.25.0.0, 0, 16259, 3229351936, 0, 0, 0,2013-09-26 08:50:24.244
timxceed, 197.251.125.66, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 08:50:24.263
timxceed, 196.29.185.225, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 08:50:24.307
echoreply, 41.67.16.118, 85.25.0.0, 0, 18739, 3066822656, 0, 0, 0,2013-09-26 08:50:24.313
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 08:50:24.368
timxceed, 196.29.168.29, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 08:50:24.489
echoreply, 196.1.198.107, 85.25.0.0, 0, 14077, 3372351488, 0, 0, 0,2013-09-26 08:50:24.500
echoreply, 41.202.160.162, 85.25.0.0, 0, 31358, 2239823872, 0, 0, 0,2013-09-26 08:50:24.504
echoreply, 196.1.198.167, 85.25.0.0, 0, 49499, 1050935296, 0, 0, 0,2013-09-26 08:50:24.548
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 08:50:24.572
unreach, 196.29.175.14, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 08:50:24.597
echoreply, 41.67.53.149, 85.25.0.0, 0, 49868, 1026752512, 0, 0, 0,2013-09-26 08:50:24.607
unreach, 196.32.209.114, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 08:50:24.680
timxceed, 196.29.168.29, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 08:50:24.688
echoreply, 41.67.53.123, 85.25.0.0, 0, 11867, 3517186048, 0, 0, 0,2013-09-26 08:50:24.751
unreach, 196.202.153.242, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 08:50:24.771
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 08:50:24.794
echoreply, 196.29.169.213, 85.25.0.0, 0, 2603, 4124311552, 0, 0, 0,2013-09-26 08:50:24.811
echoreply, 41.202.167.17, 85.25.0.0, 0, 58590, 455147520, 0, 0, 0,2013-09-26 08:50:24.916
echoreply, 196.29.175.73, 85.25.0.0, 0, 42489, 1510342656, 0, 0, 0,2013-09-26 08:50:24.919
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 08:50:24.937
timxceed, 41.67.20.66, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 08:50:24.961
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 08:50:24.962
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 08:50:24.962
timxceed, 197.251.125.66, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 08:50:24.989
echoreply, 41.78.110.177, 85.25.0.0, 0, 51199, 939524096, 0, 0, 0,2013-09-26 08:50:25.007
echoreply, 41.67.53.152, 85.25.0.0, 0, 22692, 2807758848, 0, 0, 0,2013-09-26 08:50:25.009
timxceed, 196.29.168.29, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 08:50:25.079
echoreply, 41.202.166.65, 85.25.0.0, 0, 4877, 3975282688, 0, 0, 0,2013-09-26 08:50:25.105
echoreply, 196.29.169.106, 85.25.0.0, 0, 33705, 2086010880, 0, 0, 0,2013-09-26 08:50:25.146
unreach, 196.202.153.242, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 08:50:25.152
unreach, 196.29.175.18, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 08:50:25.159
echoreply, 196.29.177.5, 85.25.0.0, 0, 26978, 2526871552, 0, 0, 0,2013-09-26 08:50:25.163
unreach, 196.29.175.14, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 08:50:25.167
echoreply, 41.67.53.19, 85.25.0.0, 0, 27690, 2480209920, 0, 0, 0,2013-09-26 08:50:25.183
echoreply, 196.29.186.167, 85.25.0.0, 0, 25787, 2604924928, 0, 0, 0,2013-09-26 08:50:25.205
timxceed, 196.29.167.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 08:50:25.249
echoreply, 196.29.161.244, 85.25.0.0, 0, 52575, 849346560, 0, 0, 0,2013-09-26 08:50:25.250
timxceed, 196.29.168.29, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 08:50:25.302
echoreply, 197.254.229.133, 85.25.0.0, 0, 43349, 1453981696, 0, 0, 0,2013-09-26 08:50:25.309
echoreply, 41.202.161.125, 85.25.0.0, 0, 42184, 1530331136, 0, 0, 0,2013-09-26 08:50:25.356
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 08:50:25.398
echoreply, 196.29.169.59, 85.25.0.0, 0, 25654, 2613641216, 0, 0, 0,2013-09-26 08:50:25.398
echoreply, 196.29.191.177, 85.25.0.0, 0, 2424, 4136042496, 0, 0, 0,2013-09-26 08:50:25.400
echoreply, 196.29.183.13, 85.25.0.0, 0, 23460, 2757427200, 0, 0, 0,2013-09-26 08:50:25.404
timxceed, 196.29.167.46, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 08:50:25.419
echoreply, 196.202.139.235, 85.25.0.0, 0, 39101, 1732378624, 0, 0, 0,2013-09-26 08:50:25.420
echoreply, 196.29.177.100, 85.25.0.0, 0, 25308, 2636316672, 0, 0, 0,2013-09-26 08:50:25.446
echoreply, 41.78.109.21, 85.25.0.0, 0, 37727, 1822425088, 0, 0, 0,2013-09-26 08:50:25.467
timxceed, 196.29.164.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 08:50:25.513
echoreply, 196.29.185.147, 85.25.0.0, 0, 22001, 2853044224, 0, 0, 0,2013-09-26 08:50:25.549
echoreply, 41.202.168.53, 85.25.0.0, 0, 39207, 1725431808, 0, 0, 0,2013-09-26 08:50:25.597
