response, saddr, daddr, sport, dport, seq, ack, in_cooldown, is_repeat, timestamp
echoreply, 196.29.186.35, 85.25.0.0, 0, 5580, 3929210880, 0, 0, 0,2013-09-26 05:50:24.589
unreach, 196.29.175.14, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 05:50:24.616
unreach, 196.29.175.18, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 05:50:24.656
echoreply, 196.29.168.179, 85.25.0.0, 0, 62989, 166854656, 0, 0, 0,2013-09-26 05:50:24.676
timxceed, 41.67.52.1, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 05:50:24.677
echoreply, 197.254.212.195, 85.25.0.0, 0, 56917, 564789248, 0, 0, 0,2013-09-26 05:50:24.703
echoreply, 196.29.169.82, 85.25.0.0, 0, 12494, 3476094976, 0, 0, 0,2013-09-26 05:50:24.722
timxceed, 41.67.52.1, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 05:50:24.740
echoreply, 197.254.248.185, 85.25.0.0, 0, 10013, 3638689792, 0, 0, 0,2013-09-26 05:50:24.780
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 05:50:24.794
echoreply, 197.254.213.1, 85.25.0.0, 0, 120, 4287037440, 0, 0, 0,2013-09-26 05:50:24.804
echoreply, 196.29.176.190, 85.25.0.0, 0, 39912, 1679228928, 0, 0, 0,2013-09-26 05:50:24.850
echoreply, 41.67.53.145, 85.25.0.0, 0, 29808, 2341404672, 0, 0, 0,2013-09-26 05:50:24.856
timxceed, 41.67.59.6, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 05:50:24.857
echoreply, 196.29.161.206, 85.25.0.0, 0, 6938, 3840212992, 0, 0, 0,2013-09-26 05:50:24.864
timxceed, 41.67.59.6, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 05:50:24.884
