response, saddr, daddr, sport, dport, seq, ack, in_cooldown, is_repeat, timestamp
synack, 41.67.35.8, 85.25.0.0, 80, 59001, 2964692837, 1534872052, 0, 0,2013-09-25 22:03:36.735
rst, 196.29.164.80, 85.25.0.0, 80, 58150, 0, 305695596, 0, 0,2013-09-25 22:03:36.784
rst, 196.29.185.23, 85.25.0.0, 80, 58728, 0, 3914378503, 0, 0,2013-09-25 22:03:36.790
rst, 196.202.139.11, 85.25.0.0, 80, 48014, 0, 1445452981, 0, 0,2013-09-25 22:03:36.908
rst, 196.29.186.47, 85.25.0.0, 80, 46484, 0, 1826196826, 0, 0,2013-09-25 22:03:36.928
synack, 196.29.187.156, 85.25.0.0, 80, 52230, 1810414052, 2012329367, 0, 0,2013-09-25 22:03:36.993
rst, 196.29.185.129, 85.25.0.0, 80, 51855, 0, 732288983, 0, 0,2013-09-25 22:03:37.016
rst, 41.67.21.47, 85.25.0.0, 80, 55863, 0, 1936339945, 0, 0,2013-09-25 22:03:37.043
rst, 196.29.167.175, 85.25.0.0, 80, 42123, 0, 1901935212, 0, 0,2013-09-25 22:03:37.096
rst, 196.29.182.21, 85.25.0.0, 80, 35643, 0, 855460730, 0, 0,2013-09-25 22:03:37.129
rst, 196.1.219.121, 85.25.0.0, 80, 59611, 0, 1028829814, 0, 0,2013-09-25 22:03:37.157
synack, 41.67.13.24, 85.25.0.0, 80, 47713, 46039109, 4047830257, 0, 0,2013-09-25 22:03:37.173
rst, 41.202.160.75, 85.25.0.0, 80, 57919, 0, 681205928, 0, 0,2013-09-25 22:03:37.208
rst, 196.1.198.95, 85.25.0.0, 80, 53944, 0, 779185459, 0, 0,2013-09-25 22:03:37.250
synack, 41.67.20.6, 85.25.0.0, 80, 46017, 1585519798, 1110635161, 0, 0,2013-09-25 22:03:37.253
rst, 41.78.108.21, 85.25.0.0, 80, 34764, 0, 78672829, 0, 0,2013-09-25 22:03:37.260
rst, 196.29.174.184, 85.25.0.0, 80, 38949, 0, 4016939275, 0, 0,2013-09-25 22:03:37.296
rst, 197.254.212.226, 85.25.0.0, 80, 43764, 0, 2635300038, 0, 0,2013-09-25 22:03:37.349
rst, 41.202.160.22, 85.25.0.0, 80, 52866, 0, 3380020200, 0, 0,2013-09-25 22:03:37.475
rst, 41.67.21.41, 85.25.0.0, 80, 40263, 0, 1594717404, 0, 0,2013-09-25 22:03:37.478
rst, 196.29.185.205, 85.25.0.0, 80, 60426, 0, 1361305726, 0, 0,2013-09-25 22:03:37.505
rst, 197.254.242.186, 85.25.0.0, 80, 55080, 0, 1655076502, 0, 0,2013-09-25 22:03:37.528
synack, 196.1.219.122, 85.25.0.0, 80, 50858, 2711819651, 226355129, 0, 0,2013-09-25 22:03:37.539
rst, 196.29.171.33, 85.25.0.0, 80, 43284, 0, 1795958061, 0, 0,2013-09-25 22:03:37.556
rst, 197.254.213.180, 85.25.0.0, 80, 33983, 0, 2463458187, 0, 0,2013-09-25 22:03:37.558
rst, 197.254.212.79, 85.25.0.0, 80, 53258, 0, 3892594432, 0, 0,2013-09-25 22:03:37.660
rst, 196.29.176.207, 85.25.0.0, 80, 51886, 0, 1102014350, 0, 0,2013-09-25 22:03:37.674
synack, 41.67.53.98, 85.25.0.0, 80, 41748, 829545432, 1308660309, 0, 0,2013-09-25 22:03:37.700
rst, 41.67.21.116, 85.25.0.0, 80, 42205, 0, 660206721, 0, 0,2013-09-25 22:03:37.730
rst, 197.254.213.65, 85.25.0.0, 80, 35705, 0, 3623163569, 0, 0,2013-09-25 22:03:37.796
rst, 197.254.252.217, 85.25.0.0, 80, 52772, 0, 3669905812, 0, 0,2013-09-25 22:03:37.836
synack, 41.67.53.193, 85.25.0.0, 80, 34925, 900471986, 2746991554, 0, 0,2013-09-25 22:03:37.851
rst, 197.254.251.55, 85.25.0.0, 80, 50944, 0, 3930775185, 0, 0,2013-09-25 22:03:37.928
rst, 197.254.213.60, 85.25.0.0, 80, 45998, 0, 3447805370, 0, 0,2013-09-25 22:03:37.930
rst, 196.29.179.233, 85.25.0.0, 80, 37991, 0, 1566558681, 0, 0,2013-09-25 22:03:37.951
rst, 197.254.212.196, 85.25.0.0, 80, 33785, 0, 3712731978, 0, 0,2013-09-25 22:03:38.009
rst, 196.29.177.32, 85.25.0.0, 80, 46032, 0, 813829413, 0, 0,2013-09-25 22:03:38.024
synack, 41.202.168.30, 85.25.0.0, 80, 55862, 1591136932, 1735093742, 0, 0,2013-09-25 22:03:38.030
rst, 197.254.212.158, 85.25.0.0, 80, 46705, 0, 3941663214, 0, 0,2013-09-25 22:03:38.049
rst, 197.254.213.66, 85.25.0.0, 80, 42951, 0, 1714677760, 0, 0,2013-09-25 22:03:38.099
rst, 197.254.254.141, 85.25.0.0, 80, 35214, 0, 2159285289, 0, 0,2013-09-25 22:03:38.153
rst, 41.67.59.4, 85.25.0.0, 80, 55980, 0, 2413372990, 0, 0,2013-09-25 22:03:38.180
rst, 197.254.212.249, 85.25.0.0, 80, 60750, 0, 2355550375, 0, 0,2013-09-25 22:03:38.180
rst, 41.202.160.103, 85.25.0.0, 80, 34881, 0, 3221210892, 0, 0,2013-09-25 22:03:38.219
rst, 196.29.162.172, 85.25.0.0, 80, 39148, 0, 1576693104, 0, 0,2013-09-25 22:03:38.221
rst, 196.29.160.162, 85.25.0.0, 80, 52750, 0, 2214695975, 0, 0,2013-09-25 22:03:38.245
rst, 41.202.166.195, 85.25.0.0, 80, 48227, 0, 3461579527, 0, 0,2013-09-25 22:03:38.358
rst, 196.1.198.42, 85.25.0.0, 80, 34141, 0, 1901244786, 0, 0,2013-09-25 22:03:38.366
rst, 197.254.239.217, 85.25.0.0, 80, 41913, 0, 3152685455, 0, 0,2013-09-25 22:03:38.399
rst, 196.1.198.17, 85.25.0.0, 80, 50080, 0, 1393160269, 0, 0,2013-09-25 22:03:38.436
rst, 196.29.177.254, 85.25.0.0, 80, 34207, 0, 2251786037, 0, 0,2013-09-25 22:03:38.454
rst, 196.1.198.133, 85.25.0.0, 80, 59235, 0, 642004904, 0, 0,2013-09-25 22:03:38.573
rst, 196.29.163.59, 85.25.0.0, 80, 39414, 1, 587364798, 0, 0,2013-09-25 22:03:38.649
rst, 196.29.167.49, 85.25.0.0, 80, 36842, 0, 740077840, 0, 0,2013-09-25 22:03:38.687
rst, 41.202.161.99, 85.25.0.0, 80, 37419, 0, 1319354393, 0, 0,2013-09-25 22:03:38.701
rst, 196.29.167.89, 85.25.0.0, 80, 48022, 0, 1052445273, 0, 0,2013-09-25 22:03:38.710
rst, 196.1.219.127, 85.25.0.0, 80, 56363, 0, 2283278453, 0, 0,2013-09-25 22:03:38.745
rst, 197.254.212.130, 85.25.0.0, 80, 43901, 0, 2705377513, 0, 0,2013-09-25 22:03:38.778
rst, 196.29.160.6, 85.25.0.0, 80, 39675, 0, 113650659, 0, 0,2013-09-25 22:03:38.789
rst, 196.29.168.158, 85.25.0.0, 80, 48403, 0, 407789452, 0, 0,2013-09-25 22:03:38.811
rst, 196.29.179.97, 85.25.0.0, 80, 39444, 0, 3230486022, 0, 0,2013-09-25 22:03:38.813
rst, 197.254.255.112, 85.25.0.0, 80, 52151, 0, 2135067951, 0, 0,2013-09-25 22:03:38.839
