response, saddr, daddr, sport, dport, seq, ack, in_cooldown, is_repeat, timestamp
echoreply, 196.29.187.9, 85.25.0.0, 0, 31919, 2203058176, 0, 0, 0,2013-09-26 15:05:24.700
echoreply, 41.209.81.121, 85.25.0.0, 0, 4306, 4012703744, 0, 0, 0,2013-09-26 15:05:24.725
timxceed, 196.29.164.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 15:05:24.736
echoreply, 212.0.141.34, 85.25.0.0, 0, 36562, 1898774528, 0, 0, 0,2013-09-26 15:05:24.739
echoreply, 196.202.134.189, 85.25.0.0, 0, 28059, 2456027136, 0, 0, 0,2013-09-26 15:05:24.742
echoreply, 41.209.118.119, 85.25.0.0, 0, 44368, 1387200512, 0, 0, 0,2013-09-26 15:05:24.760
unreach, 196.29.175.18, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 15:05:24.812
echoreply, 196.29.161.43, 85.25.0.0, 0, 41820, 1554186240, 0, 0, 0,2013-09-26 15:05:24.821
echoreply, 197.254.212.206, 85.25.0.0, 0, 22850, 2797404160, 0, 0, 0,2013-09-26 15:05:24.828
echoreply, 197.254.212.82, 85.25.0.0, 0, 2756, 4114284544, 0, 0, 0,2013-09-26 15:05:24.835
echoreply, 196.1.228.137, 85.25.0.0, 0, 42821, 1488584704, 0, 0, 0,2013-09-26 15:05:24.849
unreach, 196.202.139.98, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 15:05:24.856
echoreply, 41.209.69.48, 85.25.0.0, 0, 59753, 378929152, 0, 0, 0,2013-09-26 15:05:24.858
timxceed, 196.1.198.182, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 15:05:24.858
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 15:05:24.875
echoreply, 196.202.152.26, 85.25.0.0, 0, 23430, 2759393280, 0, 0, 0,2013-09-26 15:05:24.881
unreach, 196.202.139.98, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 15:05:24.882
echoreply, 196.1.219.166, 85.25.0.0, 0, 38602, 1765081088, 0, 0, 0,2013-09-26 15:05:24.887
unreach, 196.202.139.98, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 15:05:24.905
unreach, 196.202.139.98, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 15:05:24.921
echoreply, 196.29.186.225, 85.25.0.0, 0, 27592, 2486632448, 0, 0, 0,2013-09-26 15:05:24.926
timxceed, 41.67.52.2, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 15:05:24.927
echoreply, 41.202.166.228, 85.25.0.0, 0, 18676, 3070951424, 0, 0, 0,2013-09-26 15:05:24.929
echoreply, 41.67.13.24, 85.25.0.0, 0, 16917, 3186229248, 0, 0, 0,2013-09-26 15:05:24.937
echoreply, 41.209.113.143, 85.25.0.0, 0, 43537, 1441660928, 0, 0, 0,2013-09-26 15:05:24.948
echoreply, 196.202.152.22, 85.25.0.0, 0, 29102, 2387673088, 0, 0, 0,2013-09-26 15:05:24.954
echoreply, 41.223.202.51, 85.25.0.0, 0, 53933, 760348672, 0, 0, 0,2013-09-26 15:05:24.957
echoreply, 196.1.248.205, 85.25.0.0, 0, 50357, 994705408, 0, 0, 0,2013-09-26 15:05:24.963
unreach, 196.202.139.98, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 15:05:24.970
