response, saddr, daddr, sport, dport, seq, ack, in_cooldown, is_repeat, timestamp
rst, 197.254.213.224, 85.25.0.0, 23, 36522, 0, 54597086, 0, 0,2013-09-26 02:15:01.858
rst, 196.29.169.54, 85.25.0.0, 23, 38988, 0, 4189450926, 0, 0,2013-09-26 02:15:01.904
rst, 196.29.167.169, 85.25.0.0, 23, 59450, 0, 2964385293, 0, 0,2013-09-26 02:15:01.931
rst, 196.29.176.89, 85.25.0.0, 23, 33704, 0, 1985102741, 0, 0,2013-09-26 02:15:01.972
rst, 196.29.169.213, 85.25.0.0, 23, 33714, 0, 2224737019, 0, 0,2013-09-26 02:15:02.012
rst, 196.29.185.251, 85.25.0.0, 23, 32798, 0, 2712998060, 0, 0,2013-09-26 02:15:02.015
rst, 197.254.213.246, 85.25.0.0, 23, 52399, 0, 1448015039, 0, 0,2013-09-26 02:15:02.028
rst, 196.29.163.25, 85.25.0.0, 23, 54425, 1, 3527484933, 0, 0,2013-09-26 02:15:02.151
rst, 196.29.163.52, 85.25.0.0, 23, 46881, 1, 1507176070, 0, 0,2013-09-26 02:15:02.159
rst, 196.29.163.244, 85.25.0.0, 23, 45046, 1, 790246869, 0, 0,2013-09-26 02:15:02.162
rst, 197.254.213.215, 85.25.0.0, 23, 40420, 0, 160242626, 0, 0,2013-09-26 02:15:02.167
rst, 197.254.251.112, 85.25.0.0, 23, 35925, 0, 4232659207, 0, 0,2013-09-26 02:15:02.195
rst, 196.29.185.226, 85.25.0.0, 23, 53672, 0, 1733557530, 0, 0,2013-09-26 02:15:02.219
synack, 41.202.168.45, 85.25.0.0, 23, 36112, 3788279299, 1451235473, 0, 0,2013-09-26 02:15:02.306
rst, 196.29.163.226, 85.25.0.0, 23, 59860, 1, 575856319, 0, 0,2013-09-26 02:15:02.401
rst, 197.254.252.122, 85.25.0.0, 23, 36583, 0, 126734311, 0, 0,2013-09-26 02:15:02.482
rst, 196.29.163.75, 85.25.0.0, 23, 33533, 1, 4244750961, 0, 0,2013-09-26 02:15:02.488
rst, 196.29.163.239, 85.25.0.0, 23, 52606, 1, 1223216069, 0, 0,2013-09-26 02:15:02.490
rst, 196.29.168.219, 85.25.0.0, 23, 60414, 0, 3581650491, 0, 0,2013-09-26 02:15:02.518
