response, saddr, daddr, sport, dport, seq, ack, in_cooldown, is_repeat, timestamp
unreach, 196.29.175.14, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 01:35:24.192
echoreply, 196.202.139.209, 85.25.0.0, 0, 23445, 2758410240, 0, 0, 0,2013-09-26 01:35:24.244
timxceed, 41.67.52.1, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 01:35:24.245
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 01:35:24.293
unreach, 196.29.175.18, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 01:35:24.303
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 01:35:24.315
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 01:35:24.331
timxceed, 41.67.52.1, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 01:35:24.338
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 01:35:24.339
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 01:35:24.366
unreach, 196.202.153.242, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 01:35:24.372
timxceed, 41.67.52.2, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 01:35:24.383
echoreply, 196.29.175.134, 85.25.0.0, 0, 60677, 318373888, 0, 0, 0,2013-09-26 01:35:24.383
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 01:35:24.388
timxceed, 196.29.164.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 01:35:24.390
timxceed, 41.67.52.1, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 01:35:24.409
timxceed, 41.67.52.2, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 01:35:24.437
unreach, 196.29.169.149, 85.25.0.0, 771, 64764, 0, 1157627944, 0, 0,2013-09-26 01:35:24.455
echoreply, 197.254.213.32, 85.25.0.0, 0, 58254, 477167616, 0, 0, 0,2013-09-26 01:35:24.462
timxceed, 41.67.52.1, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 01:35:24.469
timxceed, 41.67.59.5, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 01:35:24.502
echoreply, 196.29.176.123, 85.25.0.0, 0, 64519, 66584576, 0, 0, 0,2013-09-26 01:35:24.510
echoreply, 196.29.176.93, 85.25.0.0, 0, 25891, 2598109184, 0, 0, 0,2013-09-26 01:35:24.558
timxceed, 41.67.52.1, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 01:35:24.565
timxceed, 196.29.164.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 01:35:24.582
unreach, 196.32.209.114, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 01:35:24.585
unreach, 41.67.17.18, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 01:35:24.607
echoreply, 196.29.176.5, 85.25.0.0, 0, 27750, 2476277760, 0, 0, 0,2013-09-26 01:35:24.669
echoreply, 197.251.68.5, 85.25.0.0, 0, 56712, 578224128, 0, 0, 0,2013-09-26 01:35:24.693
unreach, 196.202.153.242, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 01:35:24.716
echoreply, 196.29.168.233, 85.25.0.0, 0, 22764, 2803040256, 0, 0, 0,2013-09-26 01:35:24.717
timxceed, 41.67.20.2, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 01:35:24.738
unreach, 196.202.153.242, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 01:35:24.759
timxceed, 196.29.164.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 01:35:24.764
echoreply, 197.254.212.28, 85.25.0.0, 0, 7869, 3779198976, 0, 0, 0,2013-09-26 01:35:24.774
echoreply, 196.202.139.55, 85.25.0.0, 0, 24175, 2710568960, 0, 0, 0,2013-09-26 01:35:24.780
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 01:35:24.785
echoreply, 197.254.213.235, 85.25.0.0, 0, 9489, 3673030656, 0, 0, 0,2013-09-26 01:35:24.796
timxceed, 41.67.52.2, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 01:35:24.813
timxceed, 196.29.185.225, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 01:35:24.845
timxceed, 41.67.59.6, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 01:35:24.856
echoreply, 41.202.168.41, 85.25.0.0, 0, 7201, 3822977024, 0, 0, 0,2013-09-26 01:35:24.895
