response, saddr, daddr, sport, dport, seq, ack, in_cooldown, is_repeat, timestamp
rst, 196.29.163.13, 85.25.0.0, 80, 38298, 1, 3916282615, 0, 0,2013-09-26 10:03:36.830
rst, 196.29.167.59, 85.25.0.0, 80, 57627, 0, 3135274353, 0, 0,2013-09-26 10:03:36.842
synack, 196.29.167.26, 85.25.0.0, 80, 51584, 568842268, 48015552, 0, 0,2013-09-26 10:03:36.918
rst, 41.223.200.251, 85.25.0.0, 80, 49293, 0, 109391474, 0, 0,2013-09-26 10:03:36.928
synack, 41.202.166.207, 85.25.0.0, 80, 52457, 1183564244, 3753945981, 0, 0,2013-09-26 10:03:36.991
rst, 196.29.163.44, 85.25.0.0, 80, 51478, 1, 482704897, 0, 0,2013-09-26 10:03:37.001
synack, 41.67.53.126, 85.25.0.0, 80, 33826, 2507768123, 1925929975, 0, 0,2013-09-26 10:03:37.031
rst, 196.29.163.37, 85.25.0.0, 80, 41542, 1, 3033698389, 0, 0,2013-09-26 10:03:37.069
synack, 196.29.187.197, 85.25.0.0, 80, 53716, 1981244080, 3535327761, 0, 0,2013-09-26 10:03:37.091
rst, 196.29.186.175, 85.25.0.0, 80, 39910, 0, 2958112279, 0, 0,2013-09-26 10:03:37.165
rst, 196.29.185.147, 85.25.0.0, 80, 40012, 0, 2999935209, 0, 0,2013-09-26 10:03:37.269
synack, 196.29.187.58, 85.25.0.0, 80, 44268, 2173489858, 1306392930, 0, 0,2013-09-26 10:03:37.323
rst, 196.29.176.226, 85.25.0.0, 80, 49389, 0, 2433590692, 0, 0,2013-09-26 10:03:37.326
rst, 41.78.108.81, 85.25.0.0, 80, 53744, 0, 3400443296, 0, 0,2013-09-26 10:03:37.395
rst, 196.202.139.8, 85.25.0.0, 80, 41402, 0, 2722945790, 0, 0,2013-09-26 10:03:37.395
rst, 196.29.177.254, 85.25.0.0, 80, 53032, 0, 1029618483, 0, 0,2013-09-26 10:03:37.581
synack, 41.78.109.140, 85.25.0.0, 80, 46241, 4039468209, 3861562407, 0, 0,2013-09-26 10:03:37.648
rst, 196.29.168.235, 85.25.0.0, 80, 43031, 0, 1234502394, 0, 0,2013-09-26 10:03:37.648
rst, 196.29.171.33, 85.25.0.0, 80, 50732, 0, 489590421, 0, 0,2013-09-26 10:03:37.844
synack, 196.29.187.194, 85.25.0.0, 80, 58725, 1796712555, 4122153719, 0, 0,2013-09-26 10:03:37.869
rst, 41.67.21.97, 85.25.0.0, 80, 41785, 0, 51520373, 0, 0,2013-09-26 10:03:37.889
rst, 196.202.139.135, 85.25.0.0, 80, 54122, 0, 4244513129, 0, 0,2013-09-26 10:03:37.910
synack, 41.202.163.77, 85.25.0.0, 80, 40659, 735275842, 2597646867, 0, 0,2013-09-26 10:03:37.991
rst, 41.202.166.0, 85.25.0.0, 80, 39665, 0, 264015944, 0, 0,2013-09-26 10:03:38.009
synack, 41.67.16.126, 85.25.0.0, 80, 35543, 4124940282, 269088012, 0, 0,2013-09-26 10:03:38.010
rst, 196.29.172.161, 85.25.0.0, 80, 35204, 0, 206703394, 0, 0,2013-09-26 10:03:38.110
rst, 196.1.198.123, 85.25.0.0, 80, 33315, 0, 571611908, 0, 0,2013-09-26 10:03:38.178
rst, 196.29.175.13, 85.25.0.0, 80, 39053, 0, 3223365203, 0, 0,2013-09-26 10:03:38.223
synack, 196.29.168.22, 85.25.0.0, 80, 44619, 478580343, 4084477372, 0, 0,2013-09-26 10:03:38.232
synack, 196.29.166.197, 85.25.0.0, 80, 48116, 1639096673, 767677507, 0, 0,2013-09-26 10:03:38.340
synack, 41.202.160.50, 85.25.0.0, 80, 50114, 1744798617, 823042982, 0, 0,2013-09-26 10:03:38.365
synack, 196.29.169.134, 85.25.0.0, 80, 51807, 2206450904, 1897670099, 0, 0,2013-09-26 10:03:38.400
