response, saddr, daddr, sport, dport, seq, ack, in_cooldown, is_repeat, timestamp
unreach, 196.29.175.14, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 12:50:24.599
echoreply, 41.209.74.149, 85.25.0.0, 0, 25285, 2637824000, 0, 0, 0,2013-09-26 12:50:24.621
echoreply, 41.209.80.153, 85.25.0.0, 0, 64591, 61865984, 0, 0, 0,2013-09-26 12:50:24.640
echoreply, 41.209.70.159, 85.25.0.0, 0, 11290, 3555000320, 0, 0, 0,2013-09-26 12:50:24.643
echoreply, 196.202.134.162, 85.25.0.0, 0, 62287, 212860928, 0, 0, 0,2013-09-26 12:50:24.654
echoreply, 41.209.80.103, 85.25.0.0, 0, 37974, 1806237696, 0, 0, 0,2013-09-26 12:50:24.664
echoreply, 212.0.137.214, 85.25.0.0, 0, 59816, 374800384, 0, 0, 0,2013-09-26 12:50:24.665
timxceed, 41.67.59.5, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:24.668
echoreply, 41.209.73.100, 85.25.0.0, 0, 24962, 2658992128, 0, 0, 0,2013-09-26 12:50:24.679
timxceed, 41.67.59.5, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:24.680
echoreply, 41.209.119.85, 85.25.0.0, 0, 38311, 1784152064, 0, 0, 0,2013-09-26 12:50:24.681
echoreply, 196.29.186.146, 85.25.0.0, 0, 8264, 3753312256, 0, 0, 0,2013-09-26 12:50:24.681
unreach, 196.202.139.98, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:24.684
echoreply, 197.254.212.7, 85.25.0.0, 0, 4311, 4012376064, 0, 0, 0,2013-09-26 12:50:24.691
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:24.703
echoreply, 41.209.69.116, 85.25.0.0, 0, 62639, 189792256, 0, 0, 0,2013-09-26 12:50:24.704
unreach, 196.202.139.98, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:24.710
timxceed, 41.67.52.1, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:24.723
echoreply, 41.209.124.197, 85.25.0.0, 0, 54954, 693436416, 0, 0, 0,2013-09-26 12:50:24.723
echoreply, 41.67.53.30, 85.25.0.0, 0, 4714, 3985965056, 0, 0, 0,2013-09-26 12:50:24.727
echoreply, 197.254.212.253, 85.25.0.0, 0, 33818, 2078605312, 0, 0, 0,2013-09-26 12:50:24.734
echoreply, 196.202.153.202, 85.25.0.0, 0, 46656, 1237254144, 0, 0, 0,2013-09-26 12:50:24.734
echoreply, 41.209.68.126, 85.25.0.0, 0, 45252, 1329266688, 0, 0, 0,2013-09-26 12:50:24.740
echoreply, 196.1.196.241, 85.25.0.0, 0, 12083, 3503030272, 0, 0, 0,2013-09-26 12:50:24.751
echoreply, 196.202.152.145, 85.25.0.0, 0, 27412, 2498428928, 0, 0, 0,2013-09-26 12:50:24.771
timxceed, 41.223.201.86, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:24.784
echoreply, 197.254.213.108, 85.25.0.0, 0, 52016, 885981184, 0, 0, 0,2013-09-26 12:50:24.790
timxceed, 212.0.136.245, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:24.794
echoreply, 197.254.212.10, 85.25.0.0, 0, 57895, 500695040, 0, 0, 0,2013-09-26 12:50:24.798
unreach, 196.202.139.98, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:24.799
echoreply, 197.254.212.118, 85.25.0.0, 0, 10289, 3620601856, 0, 0, 0,2013-09-26 12:50:24.799
echoreply, 196.29.187.211, 85.25.0.0, 0, 5303, 3947364352, 0, 0, 0,2013-09-26 12:50:24.809
echoreply, 41.209.73.139, 85.25.0.0, 0, 5887, 3909091328, 0, 0, 0,2013-09-26 12:50:24.810
echoreply, 41.209.112.157, 85.25.0.0, 0, 46079, 1275068416, 0, 0, 0,2013-09-26 12:50:24.823
unreach, 196.32.209.114, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 12:50:24.835
echoreply, 212.0.140.129, 85.25.0.0, 0, 45026, 1344077824, 0, 0, 0,2013-09-26 12:50:24.844
echoreply, 41.67.11.50, 85.25.0.0, 0, 8830, 3716218880, 0, 0, 0,2013-09-26 12:50:24.846
echoreply, 196.1.196.34, 85.25.0.0, 0, 19248, 3033464832, 0, 0, 0,2013-09-26 12:50:24.853
unreach, 196.1.197.190, 85.25.0.0, 781, 64754, 0, 1157627944, 0, 0,2013-09-26 12:50:24.858
timxceed, 196.29.164.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:24.864
timxceed, 196.29.164.43, 85.25.0.0, 2816, 41182, 546073, 1157627944, 0, 0,2013-09-26 12:50:24.870
unreach, 196.202.139.98, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:24.886
unreach, 196.202.139.98, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:24.891
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:24.893
echoreply, 197.254.212.72, 85.25.0.0, 0, 5948, 3905093632, 0, 0, 0,2013-09-26 12:50:24.900
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:24.905
echoreply, 41.209.72.7, 85.25.0.0, 0, 59310, 407961600, 0, 0, 0,2013-09-26 12:50:24.910
echoreply, 41.209.80.208, 85.25.0.0, 0, 60656, 319750144, 0, 0, 0,2013-09-26 12:50:24.913
echoreply, 41.209.68.132, 85.25.0.0, 0, 41173, 1596588032, 0, 0, 0,2013-09-26 12:50:24.914
unreach, 196.202.139.98, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:24.933
echoreply, 41.202.162.209, 85.25.0.0, 0, 51503, 919601152, 0, 0, 0,2013-09-26 12:50:24.939
echoreply, 196.202.152.9, 85.25.0.0, 0, 11992, 3508994048, 0, 0, 0,2013-09-26 12:50:24.949
timxceed, 41.67.59.6, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:24.951
echoreply, 212.0.159.203, 85.25.0.0, 0, 52483, 855375872, 0, 0, 0,2013-09-26 12:50:24.956
echoreply, 41.209.120.183, 85.25.0.0, 0, 29304, 2374434816, 0, 0, 0,2013-09-26 12:50:24.968
echoreply, 41.209.72.14, 85.25.0.0, 0, 61795, 245104640, 0, 0, 0,2013-09-26 12:50:24.972
echoreply, 41.209.119.234, 85.25.0.0, 0, 38518, 1770586112, 0, 0, 0,2013-09-26 12:50:24.981
timxceed, 196.29.185.225, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:24.992
echoreply, 41.209.113.87, 85.25.0.0, 0, 61012, 296419328, 0, 0, 0,2013-09-26 12:50:25.000
echoreply, 197.254.212.224, 85.25.0.0, 0, 54949, 693764096, 0, 0, 0,2013-09-26 12:50:25.001
echoreply, 196.29.186.85, 85.25.0.0, 0, 9288, 3686203392, 0, 0, 0,2013-09-26 12:50:25.001
echoreply, 197.254.213.121, 85.25.0.0, 0, 58982, 429457408, 0, 0, 0,2013-09-26 12:50:25.015
unreach, 196.202.139.98, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:25.018
echoreply, 41.209.113.4, 85.25.0.0, 0, 3386, 4072996864, 0, 0, 0,2013-09-26 12:50:25.019
echoreply, 196.29.167.6, 85.25.0.0, 0, 9268, 3687514112, 0, 0, 0,2013-09-26 12:50:25.044
unreach, 196.29.186.110, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:25.048
echoreply, 196.1.217.60, 85.25.0.0, 0, 5581, 3929145344, 0, 0, 0,2013-09-26 12:50:25.050
echoreply, 196.202.134.150, 85.25.0.0, 0, 48688, 1104084992, 0, 0, 0,2013-09-26 12:50:25.053
echoreply, 41.202.160.169, 85.25.0.0, 0, 19135, 3040870400, 0, 0, 0,2013-09-26 12:50:25.057
echoreply, 196.29.178.16, 85.25.0.0, 0, 55725, 642908160, 0, 0, 0,2013-09-26 12:50:25.059
unreach, 196.202.139.98, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:25.060
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:25.062
echoreply, 196.1.240.33, 85.25.0.0, 0, 28682, 2415198208, 0, 0, 0,2013-09-26 12:50:25.073
echoreply, 196.1.240.51, 85.25.0.0, 0, 34994, 2001534976, 0, 0, 0,2013-09-26 12:50:25.080
unreach, 196.202.139.98, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:25.097
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:25.098
echoreply, 41.209.66.99, 85.25.0.0, 0, 61178, 285540352, 0, 0, 0,2013-09-26 12:50:25.105
echoreply, 41.209.124.114, 85.25.0.0, 0, 5282, 3948740608, 0, 0, 0,2013-09-26 12:50:25.109
echoreply, 196.1.197.217, 85.25.0.0, 0, 53432, 793182208, 0, 0, 0,2013-09-26 12:50:25.112
echoreply, 41.218.34.167, 85.25.0.0, 0, 42229, 1527382016, 0, 0, 0,2013-09-26 12:50:25.154
unreach, 196.202.153.242, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:25.158
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:25.194
timxceed, 196.29.164.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:25.206
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:25.218
timxceed, 41.67.52.1, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:25.231
echoreply, 41.209.73.10, 85.25.0.0, 0, 57608, 519503872, 0, 0, 0,2013-09-26 12:50:25.238
echoreply, 41.218.52.13, 85.25.0.0, 0, 27989, 2460614656, 0, 0, 0,2013-09-26 12:50:25.254
timxceed, 196.29.185.225, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:25.260
unreach, 196.29.175.14, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 12:50:25.270
echoreply, 41.209.73.28, 85.25.0.0, 0, 56044, 622002176, 0, 0, 0,2013-09-26 12:50:25.281
timxceed, 41.67.52.2, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:25.291
echoreply, 196.29.160.243, 85.25.0.0, 0, 750, 4245749760, 0, 0, 0,2013-09-26 12:50:25.318
unreach, 196.202.139.6, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:25.324
echoreply, 41.209.124.183, 85.25.0.0, 0, 18687, 3070230528, 0, 0, 0,2013-09-26 12:50:25.324
echoreply, 41.209.64.64, 85.25.0.0, 0, 17701, 3134849024, 0, 0, 0,2013-09-26 12:50:25.336
echoreply, 41.202.166.162, 85.25.0.0, 0, 21489, 2886598656, 0, 0, 0,2013-09-26 12:50:25.336
unreach, 196.202.139.6, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:25.339
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:25.348
unreach, 196.202.153.242, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:25.358
timxceed, 196.1.198.182, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:25.363
timxceed, 41.67.20.66, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:25.363
echoreply, 41.209.118.115, 85.25.0.0, 0, 55751, 641204224, 0, 0, 0,2013-09-26 12:50:25.364
unreach, 196.202.139.6, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:25.368
unreach, 196.202.139.6, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:25.368
echoreply, 196.1.240.27, 85.25.0.0, 0, 41708, 1561526272, 0, 0, 0,2013-09-26 12:50:25.369
timxceed, 41.67.52.1, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:25.376
echoreply, 41.209.118.36, 85.25.0.0, 0, 62336, 209649664, 0, 0, 0,2013-09-26 12:50:25.376
timxceed, 196.29.164.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:25.377
echoreply, 196.1.197.51, 85.25.0.0, 0, 27792, 2473525248, 0, 0, 0,2013-09-26 12:50:25.382
echoreply, 196.1.248.223, 85.25.0.0, 0, 25915, 2596536320, 0, 0, 0,2013-09-26 12:50:25.388
echoreply, 196.1.240.22, 85.25.0.0, 0, 41621, 1567227904, 0, 0, 0,2013-09-26 12:50:25.394
echoreply, 197.254.212.123, 85.25.0.0, 0, 42611, 1502347264, 0, 0, 0,2013-09-26 12:50:25.394
echoreply, 212.0.136.25, 85.25.0.0, 0, 53144, 812056576, 0, 0, 0,2013-09-26 12:50:25.416
unreach, 196.202.153.242, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:25.419
timxceed, 41.67.52.2, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:25.426
unreach, 196.29.186.110, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:25.427
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:25.428
echoreply, 41.78.108.41, 85.25.0.0, 0, 2574, 4126212096, 0, 0, 0,2013-09-26 12:50:25.440
unreach, 196.202.139.6, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:25.441
echoreply, 41.209.68.231, 85.25.0.0, 0, 12550, 3472424960, 0, 0, 0,2013-09-26 12:50:25.445
timxceed, 41.67.59.5, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:25.484
echoreply, 41.67.21.42, 85.25.0.0, 0, 51108, 945487872, 0, 0, 0,2013-09-26 12:50:25.487
echoreply, 41.209.64.68, 85.25.0.0, 0, 9171, 3693871104, 0, 0, 0,2013-09-26 12:50:25.502
echoreply, 41.218.35.169, 85.25.0.0, 0, 19870, 2992701440, 0, 0, 0,2013-09-26 12:50:25.507
echoreply, 41.209.119.198, 85.25.0.0, 0, 48630, 1107886080, 0, 0, 0,2013-09-26 12:50:25.514
unreach, 196.29.168.150, 85.25.0.0, 781, 64754, 0, 1157627944, 0, 0,2013-09-26 12:50:25.514
echoreply, 41.202.172.117, 85.25.0.0, 0, 31486, 2231435264, 0, 0, 0,2013-09-26 12:50:25.515
echoreply, 196.1.197.201, 85.25.0.0, 0, 58957, 431095808, 0, 0, 0,2013-09-26 12:50:25.536
unreach, 196.202.139.6, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 12:50:25.537
echoreply, 41.209.69.91, 85.25.0.0, 0, 25047, 2653421568, 0, 0, 0,2013-09-26 12:50:25.538
echoreply, 197.254.254.249, 85.25.0.0, 0, 45644, 1303576576, 0, 0, 0,2013-09-26 12:50:25.539
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:25.545
echoreply, 41.209.80.21, 85.25.0.0, 0, 49475, 1052508160, 0, 0, 0,2013-09-26 12:50:25.551
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:25.561
echoreply, 212.0.136.179, 85.25.0.0, 0, 834, 4240244736, 0, 0, 0,2013-09-26 12:50:25.562
echoreply, 196.1.237.93, 85.25.0.0, 0, 11048, 3570860032, 0, 0, 0,2013-09-26 12:50:25.567
echoreply, 196.1.248.214, 85.25.0.0, 0, 31053, 2259812352, 0, 0, 0,2013-09-26 12:50:25.573
echoreply, 196.29.185.193, 85.25.0.0, 0, 2715, 4116971520, 0, 0, 0,2013-09-26 12:50:25.576
echoreply, 197.254.247.54, 85.25.0.0, 0, 43390, 1451294720, 0, 0, 0,2013-09-26 12:50:25.579
echoreply, 41.209.122.37, 85.25.0.0, 0, 20491, 2952003584, 0, 0, 0,2013-09-26 12:50:25.583
echoreply, 41.67.53.125, 85.25.0.0, 0, 49114, 1076166656, 0, 0, 0,2013-09-26 12:50:25.590
echoreply, 212.0.145.90, 85.25.0.0, 0, 62603, 192151552, 0, 0, 0,2013-09-26 12:50:25.596
echoreply, 41.209.112.189, 85.25.0.0, 0, 25845, 2601123840, 0, 0, 0,2013-09-26 12:50:25.598
echoreply, 41.209.73.2, 85.25.0.0, 0, 64493, 68288512, 0, 0, 0,2013-09-26 12:50:25.607
echoreply, 41.218.39.61, 85.25.0.0, 0, 31245, 2247229440, 0, 0, 0,2013-09-26 12:50:25.612
timxceed, 196.29.168.29, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 12:50:25.614
echoreply, 41.209.69.115, 85.25.0.0, 0, 58511, 460324864, 0, 0, 0,2013-09-26 12:50:25.624
echoreply, 41.223.160.115, 85.25.0.0, 0, 51344, 930021376, 0, 0, 0,2013-09-26 12:50:25.649
echoreply, 41.209.119.242, 85.25.0.0, 0, 19398, 3023634432, 0, 0, 0,2013-09-26 12:50:25.658
