response, saddr, daddr, sport, dport, seq, ack, in_cooldown, is_repeat, timestamp
unreach, 196.29.175.14, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 06:35:24.764
timxceed, 196.29.164.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 06:35:24.833
echoreply, 196.29.185.69, 85.25.0.0, 0, 40218, 1659174912, 0, 0, 0,2013-09-26 06:35:24.890
echoreply, 196.29.186.123, 85.25.0.0, 0, 58056, 490143744, 0, 0, 0,2013-09-26 06:35:24.892
echoreply, 197.254.212.0, 85.25.0.0, 0, 17176, 3169255424, 0, 0, 0,2013-09-26 06:35:24.896
echoreply, 197.254.213.9, 85.25.0.0, 0, 5840, 3912171520, 0, 0, 0,2013-09-26 06:35:24.901
echoreply, 196.29.173.3, 85.25.0.0, 0, 56135, 616038400, 0, 0, 0,2013-09-26 06:35:24.906
timxceed, 41.67.52.2, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 06:35:24.940
echoreply, 197.254.213.129, 85.25.0.0, 0, 63799, 113770496, 0, 0, 0,2013-09-26 06:35:24.942
echoreply, 197.254.213.204, 85.25.0.0, 0, 27449, 2496004096, 0, 0, 0,2013-09-26 06:35:24.948
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 06:35:24.960
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 06:35:24.974
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 06:35:24.974
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 06:35:24.986
echoreply, 197.254.212.99, 85.25.0.0, 0, 46497, 1247674368, 0, 0, 0,2013-09-26 06:35:25.037
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 06:35:25.076
echoreply, 197.254.213.239, 85.25.0.0, 0, 618, 4254400512, 0, 0, 0,2013-09-26 06:35:25.080
unreach, 196.29.167.62, 85.25.0.0, 781, 64754, 0, 1157627944, 0, 0,2013-09-26 06:35:25.087
echoreply, 196.1.198.59, 85.25.0.0, 0, 59306, 408223744, 0, 0, 0,2013-09-26 06:35:25.094
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 06:35:25.120
timxceed, 41.67.59.6, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 06:35:25.139
unreach, 196.202.153.242, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 06:35:25.140
echoreply, 41.202.174.12, 85.25.0.0, 0, 23341, 2765225984, 0, 0, 0,2013-09-26 06:35:25.143
timxceed, 196.29.164.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 06:35:25.171
echoreply, 197.254.212.75, 85.25.0.0, 0, 1403, 4202954752, 0, 0, 0,2013-09-26 06:35:25.196
unreach, 196.202.153.242, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 06:35:25.200
echoreply, 196.29.168.1, 85.25.0.0, 0, 57114, 551878656, 0, 0, 0,2013-09-26 06:35:25.217
unreach, 196.32.209.114, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 06:35:25.219
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 06:35:25.221
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 06:35:25.230
echoreply, 41.202.160.57, 85.25.0.0, 0, 4176, 4021223424, 0, 0, 0,2013-09-26 06:35:25.264
timxceed, 41.67.59.6, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 06:35:25.304
timxceed, 41.67.52.1, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 06:35:25.316
echoreply, 197.254.240.230, 85.25.0.0, 0, 48845, 1093795840, 0, 0, 0,2013-09-26 06:35:25.345
timxceed, 196.29.185.225, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 06:35:25.349
timxceed, 196.29.168.29, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 06:35:25.403
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 06:35:25.405
echoreply, 196.29.170.241, 85.25.0.0, 0, 58840, 438763520, 0, 0, 0,2013-09-26 06:35:25.464
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 06:35:25.466
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 06:35:25.467
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 06:35:25.474
echoreply, 41.67.54.8, 85.25.0.0, 0, 59277, 410124288, 0, 0, 0,2013-09-26 06:35:25.475
echoreply, 41.67.53.8, 85.25.0.0, 0, 54113, 748552192, 0, 0, 0,2013-09-26 06:35:25.481
echoreply, 41.67.43.3, 85.25.0.0, 0, 28492, 2427650048, 0, 0, 0,2013-09-26 06:35:25.496
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 06:35:25.498
timxceed, 41.67.59.5, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 06:35:25.538
unreach, 83.217.238.18, 85.25.0.0, 768, 64767, 0, 1157627944, 0, 0,2013-09-26 06:35:25.538
unreach, 41.67.17.18, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 06:35:25.563
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 06:35:25.566
timxceed, 41.67.52.2, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 06:35:25.569
timxceed, 196.29.168.29, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 06:35:25.572
timxceed, 41.67.52.1, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 06:35:25.577
echoreply, 196.29.161.242, 85.25.0.0, 0, 18084, 3109748736, 0, 0, 0,2013-09-26 06:35:25.589
timxceed, 196.29.167.46, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 06:35:25.620
echoreply, 196.29.186.150, 85.25.0.0, 0, 3140, 4089118720, 0, 0, 0,2013-09-26 06:35:25.658
timxceed, 196.29.167.41, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 06:35:25.684
echoreply, 197.254.242.131, 85.25.0.0, 0, 60215, 348651520, 0, 0, 0,2013-09-26 06:35:25.687
unreach, 196.32.209.114, 85.25.0.0, 769, 64766, 0, 1157627944, 0, 0,2013-09-26 06:35:25.716
echoreply, 196.29.187.85, 85.25.0.0, 0, 16981, 3182034944, 0, 0, 0,2013-09-26 06:35:25.730
echoreply, 197.254.242.57, 85.25.0.0, 0, 10771, 3589013504, 0, 0, 0,2013-09-26 06:35:25.764
echoreply, 41.202.160.93, 85.25.0.0, 0, 45150, 1335951360, 0, 0, 0,2013-09-26 06:35:25.794
timxceed, 41.67.17.9, 85.25.0.0, 2816, 62719, 0, 1157627944, 0, 0,2013-09-26 06:35:25.824
