response, saddr, daddr, sport, dport, seq, ack, in_cooldown, is_repeat, timestamp
rst, 196.29.161.248, 85.25.0.0, 80, 53554, 0, 1395883955, 0, 0,2013-09-26 02:33:36.810
rst, 196.1.198.179, 85.25.0.0, 80, 52320, 0, 114096690, 0, 0,2013-09-26 02:33:36.991
rst, 41.67.20.3, 85.25.0.0, 80, 45604, 0, 98624596, 0, 0,2013-09-26 02:33:37.025
rst, 196.1.198.198, 85.25.0.0, 80, 55792, 0, 2313498928, 0, 0,2013-09-26 02:33:37.027
rst, 41.78.108.53, 85.25.0.0, 80, 42027, 0, 3907407443, 0, 0,2013-09-26 02:33:37.046
synack, 41.67.0.43, 85.25.0.0, 80, 36479, 452660460, 3576402265, 0, 0,2013-09-26 02:33:37.079
rst, 197.254.212.72, 85.25.0.0, 80, 56714, 0, 3708162129, 0, 0,2013-09-26 02:33:37.131
rst, 196.202.139.141, 85.25.0.0, 80, 38022, 0, 896093884, 0, 0,2013-09-26 02:33:37.157
synack, 41.67.20.121, 85.25.0.0, 80, 38680, 1308231530, 3614828752, 0, 0,2013-09-26 02:33:37.211
rst, 197.254.213.118, 85.25.0.0, 80, 56604, 0, 1984038344, 0, 0,2013-09-26 02:33:37.260
synack, 41.67.3.130, 85.25.0.0, 80, 58158, 1208719194, 3855502310, 0, 0,2013-09-26 02:33:37.266
rst, 196.29.177.48, 85.25.0.0, 80, 51301, 0, 2941474577, 0, 0,2013-09-26 02:33:37.340
rst, 196.29.163.4, 85.25.0.0, 80, 43473, 1, 3464240046, 0, 0,2013-09-26 02:33:37.371
rst, 197.254.213.76, 85.25.0.0, 80, 36546, 0, 1581320040, 0, 0,2013-09-26 02:33:37.420
synack, 196.29.187.1, 85.25.0.0, 80, 42839, 750208005, 2930796109, 0, 0,2013-09-26 02:33:37.423
rst, 41.78.108.37, 85.25.0.0, 80, 50666, 0, 768224969, 0, 0,2013-09-26 02:33:37.449
rst, 196.29.186.123, 85.25.0.0, 80, 40855, 0, 1320444690, 0, 0,2013-09-26 02:33:37.517
rst, 196.29.176.62, 85.25.0.0, 80, 35588, 0, 1240291163, 0, 0,2013-09-26 02:33:37.521
synack, 41.67.39.4, 85.25.0.0, 80, 54351, 1097728493, 2214588364, 0, 0,2013-09-26 02:33:37.529
synack, 41.202.166.128, 85.25.0.0, 80, 51455, 1550449458, 3074287555, 0, 0,2013-09-26 02:33:37.538
synack, 41.202.160.66, 85.25.0.0, 80, 33466, 1125789270, 2627714115, 0, 0,2013-09-26 02:33:37.540
synack, 196.1.219.158, 85.25.0.0, 80, 48899, 2983183410, 3626385805, 0, 0,2013-09-26 02:33:37.569
rst, 196.29.176.137, 85.25.0.0, 80, 35640, 0, 4217523915, 0, 0,2013-09-26 02:33:37.582
synack, 197.251.14.2, 85.25.0.0, 80, 37297, 4281781321, 2985363320, 0, 0,2013-09-26 02:33:37.591
rst, 41.67.21.56, 85.25.0.0, 80, 41332, 0, 3818139030, 0, 0,2013-09-26 02:33:37.615
rst, 197.254.213.138, 85.25.0.0, 80, 40474, 0, 545481223, 0, 0,2013-09-26 02:33:37.633
rst, 41.202.160.223, 85.25.0.0, 80, 41382, 0, 844402415, 0, 0,2013-09-26 02:33:37.640
rst, 196.29.164.83, 85.25.0.0, 80, 53250, 0, 4267798651, 0, 0,2013-09-26 02:33:37.644
synack, 41.202.166.84, 85.25.0.0, 80, 56407, 942245977, 2746569674, 0, 0,2013-09-26 02:33:37.662
synack, 41.67.34.100, 85.25.0.0, 80, 51568, 4241250448, 4207748002, 0, 0,2013-09-26 02:33:37.668
rst, 197.254.212.218, 85.25.0.0, 80, 60603, 0, 758254885, 0, 0,2013-09-26 02:33:37.711
rst, 196.202.139.145, 85.25.0.0, 80, 59080, 0, 882586771, 0, 0,2013-09-26 02:33:37.740
synack, 41.202.168.13, 85.25.0.0, 80, 45307, 4107216304, 158572577, 0, 0,2013-09-26 02:33:37.746
synack, 196.29.186.94, 85.25.0.0, 80, 35557, 1775115629, 2530919711, 0, 0,2013-09-26 02:33:37.765
rst, 41.67.12.56, 85.25.0.0, 80, 36245, 0, 1083650480, 0, 0,2013-09-26 02:33:37.794
rst, 196.29.186.215, 85.25.0.0, 80, 52427, 0, 4043862406, 0, 0,2013-09-26 02:33:37.805
rst, 41.202.160.105, 85.25.0.0, 80, 50063, 0, 1823260893, 0, 0,2013-09-26 02:33:37.823
rst, 196.29.169.233, 85.25.0.0, 80, 55775, 0, 3898202497, 0, 0,2013-09-26 02:33:37.828
synack, 196.29.166.195, 85.25.0.0, 80, 50307, 2282719878, 190629067, 0, 0,2013-09-26 02:33:37.851
rst, 41.202.161.77, 85.25.0.0, 80, 42184, 0, 3069587134, 0, 0,2013-09-26 02:33:37.867
rst, 197.254.247.116, 85.25.0.0, 80, 46781, 0, 1210888814, 0, 0,2013-09-26 02:33:37.953
synack, 196.202.139.253, 85.25.0.0, 80, 55868, 3427372496, 3168799080, 0, 0,2013-09-26 02:33:37.975
rst, 197.254.212.127, 85.25.0.0, 80, 45228, 0, 910501522, 0, 0,2013-09-26 02:33:37.999
rst, 41.78.109.41, 85.25.0.0, 80, 44486, 0, 2059432123, 0, 0,2013-09-26 02:33:38.028
synack, 41.202.168.20, 85.25.0.0, 80, 34628, 2905185389, 795371118, 0, 0,2013-09-26 02:33:38.043
synack, 196.29.166.234, 85.25.0.0, 80, 41081, 3826789047, 3794701100, 0, 0,2013-09-26 02:33:38.047
synack, 41.67.3.244, 85.25.0.0, 80, 51708, 4071234374, 1620277247, 0, 0,2013-09-26 02:33:38.095
rst, 197.254.213.218, 85.25.0.0, 80, 50342, 0, 235427971, 0, 0,2013-09-26 02:33:38.102
rst, 196.29.163.101, 85.25.0.0, 80, 43749, 1, 200497526, 0, 0,2013-09-26 02:33:38.112
rst, 196.29.168.207, 85.25.0.0, 80, 60003, 0, 2030552326, 0, 0,2013-09-26 02:33:38.159
rst, 197.254.213.57, 85.25.0.0, 80, 56800, 0, 2619613885, 0, 0,2013-09-26 02:33:38.214
synack, 196.29.187.36, 85.25.0.0, 80, 35877, 433596353, 3607301757, 0, 0,2013-09-26 02:33:38.266
rst, 41.67.49.0, 85.25.0.0, 80, 37202, 0, 4033246451, 0, 0,2013-09-26 02:33:38.307
rst, 197.254.212.193, 85.25.0.0, 80, 39491, 0, 440488642, 0, 0,2013-09-26 02:33:38.308
synack, 196.1.198.22, 85.25.0.0, 80, 38625, 75568044, 230252855, 0, 0,2013-09-26 02:33:38.320
rst, 196.29.167.191, 85.25.0.0, 80, 36630, 0, 328150656, 0, 0,2013-09-26 02:33:38.333
synack, 196.29.160.165, 85.25.0.0, 80, 41275, 36672750, 3463150956, 0, 0,2013-09-26 02:33:38.409
rst, 41.202.160.133, 85.25.0.0, 80, 32947, 0, 1842193721, 0, 0,2013-09-26 02:33:38.458
rst, 41.202.160.67, 85.25.0.0, 80, 58838, 0, 2701841710, 0, 0,2013-09-26 02:33:38.567
rst, 41.202.160.161, 85.25.0.0, 80, 60195, 0, 818308185, 0, 0,2013-09-26 02:33:38.580
synack, 41.202.166.92, 85.25.0.0, 80, 59941, 2155610624, 3358488201, 0, 0,2013-09-26 02:33:38.595
synack, 41.202.168.36, 85.25.0.0, 80, 50558, 882709498, 3987269755, 0, 0,2013-09-26 02:33:38.617
rst, 197.254.213.139, 85.25.0.0, 80, 57757, 0, 2413691974, 0, 0,2013-09-26 02:33:38.691
rst, 196.29.175.134, 85.25.0.0, 80, 47085, 0, 17000730, 0, 0,2013-09-26 02:33:38.699
rst, 197.254.255.8, 85.25.0.0, 80, 54736, 0, 71622995, 0, 0,2013-09-26 02:33:38.804
rst, 196.202.139.49, 85.25.0.0, 80, 44101, 0, 2985972910, 0, 0,2013-09-26 02:33:38.845
rst, 197.254.213.110, 85.25.0.0, 80, 45323, 0, 904712988, 0, 0,2013-09-26 02:33:38.864
rst, 197.254.249.253, 85.25.0.0, 80, 39972, 0, 2977109075, 0, 0,2013-09-26 02:33:38.878
rst, 41.67.20.4, 85.25.0.0, 80, 44133, 0, 1620625618, 0, 0,2013-09-26 02:33:38.941
synack, 41.202.166.197, 85.25.0.0, 80, 50403, 1611926326, 387235012, 0, 0,2013-09-26 02:33:38.993
synack, 41.202.166.40, 85.25.0.0, 80, 54491, 2297228854, 2118475183, 0, 0,2013-09-26 02:33:39.002
rst, 197.254.212.108, 85.25.0.0, 80, 60474, 0, 4201995731, 0, 0,2013-09-26 02:33:39.031
rst, 197.254.213.99, 85.25.0.0, 80, 38314, 0, 550029666, 0, 0,2013-09-26 02:33:39.048
rst, 196.1.198.43, 85.25.0.0, 80, 45615, 0, 225767513, 0, 0,2013-09-26 02:33:39.069
rst, 197.254.212.12, 85.25.0.0, 80, 33698, 0, 95210570, 0, 0,2013-09-26 02:33:39.103
rst, 196.29.172.100, 85.25.0.0, 80, 49933, 0, 3746331421, 0, 0,2013-09-26 02:33:39.168
rst, 196.29.160.254, 85.25.0.0, 80, 56719, 0, 3658801942, 0, 0,2013-09-26 02:33:39.195
rst, 41.202.161.121, 85.25.0.0, 80, 59771, 0, 1637632663, 0, 0,2013-09-26 02:33:39.220
rst, 197.254.212.147, 85.25.0.0, 80, 42184, 0, 156512526, 0, 0,2013-09-26 02:33:39.258
rst, 196.29.167.125, 85.25.0.0, 80, 59711, 0, 3649917294, 0, 0,2013-09-26 02:33:39.298
synack, 196.1.219.78, 85.25.0.0, 80, 59850, 544164487, 2548152092, 0, 0,2013-09-26 02:33:39.359
rst, 196.29.161.106, 85.25.0.0, 80, 33681, 0, 1851315659, 0, 0,2013-09-26 02:33:39.367
rst, 41.202.160.74, 85.25.0.0, 80, 59427, 0, 228692562, 0, 0,2013-09-26 02:33:39.416
synack, 41.78.109.140, 85.25.0.0, 80, 55062, 1582644638, 663829617, 0, 0,2013-09-26 02:33:39.480
rst, 41.202.160.22, 85.25.0.0, 80, 39085, 0, 1642791464, 0, 0,2013-09-26 02:33:39.502
synack, 41.202.168.19, 85.25.0.0, 80, 47548, 2996372160, 469408697, 0, 0,2013-09-26 02:33:39.547
rst, 197.254.229.161, 85.25.0.0, 80, 56499, 0, 3062408800, 0, 0,2013-09-26 02:33:39.577
rst, 41.202.162.209, 85.25.0.0, 80, 36846, 0, 1686211599, 0, 0,2013-09-26 02:33:39.584
rst, 196.202.139.87, 85.25.0.0, 80, 58346, 0, 1578944857, 0, 0,2013-09-26 02:33:39.588
rst, 197.254.213.34, 85.25.0.0, 80, 41837, 0, 1484072388, 0, 0,2013-09-26 02:33:39.613
rst, 196.29.185.227, 85.25.0.0, 80, 54098, 0, 1282433554, 0, 0,2013-09-26 02:33:39.677
rst, 197.254.213.130, 85.25.0.0, 80, 38047, 0, 3734776975, 0, 0,2013-09-26 02:33:39.692
rst, 196.202.139.245, 85.25.0.0, 80, 57092, 0, 323019832, 0, 0,2013-09-26 02:33:39.707
