# Stepping through 194.225.0.0/16 every 1 IPs
194.225.46.79  small8.ce.sharif.ac.ir
194.225.46.80  amoozesh.ce.sharif.ac.ir
194.225.46.81  net1.ce.sharif.ac.ir
194.225.46.82  hadid.ce.sharif.ac.ir
194.225.46.83  hadidtest.ce.sharif.ac.ir
194.225.46.84  arman.ce.sharif.ac.ir
194.225.46.85  TMCMP1.ce.sharif.ac.ir
194.225.46.86  TMCMP2.ce.sharif.ac.ir
194.225.46.87  TMCMP3.ce.sharif.ac.ir
194.225.46.88  TMCMP4.ce.sharif.ac.ir
194.225.46.89  TMCMP5.ce.sharif.ac.ir
194.225.46.90  TMCMP6.ce.sharif.ac.ir
194.225.46.91  TMCMP7.ce.sharif.ac.ir
194.225.46.92  TMCMP8.ce.sharif.ac.ir
194.225.46.94  robomid8.ce.sharif.ac.ir
194.225.46.95  robomid9.ce.sharif.ac.ir
194.225.46.96  robomid10.ce.sharif.ac.ir
194.225.46.97  robomid11.ce.sharif.ac.ir
194.225.46.98  rescuerobot1.ce.sharif.ac.ir
194.225.46.99  rescuerobot2.ce.sharif.ac.ir
194.225.46.100  ACM0.ce.sharif.ac.ir
194.225.46.101  ACM1.ce.sharif.ac.ir
194.225.46.102  ACM2.ce.sharif.ac.ir
194.225.46.104  halougen.ce.sharif.ac.ir
194.225.46.105  hydrogen.ce.sharif.ac.ir
194.225.46.106  oxygen.ce.sharif.ac.ir
194.225.46.107  nitrogen.ce.sharif.ac.ir
194.225.46.108  mm2.ce.sharif.ac.ir
194.225.46.116  HPLogic.ce.sharif.ac.ir
194.225.46.117  robotics1.ce.sharif.ac.ir
194.225.46.118  robotics2.ce.sharif.ac.ir
194.225.46.119  robotics3.ce.sharif.ac.ir
194.225.46.120  Automation0.ce.sharif.ac.ir
194.225.46.121  Automation1.ce.sharif.ac.ir
194.225.46.122  Automation2.ce.sharif.ac.ir
194.225.46.123  Automation3.ce.sharif.ac.ir
194.225.46.124  Automation4.ce.sharif.ac.ir
194.225.46.125  Automation5.ce.sharif.ac.ir
194.225.46.126  Automation6.ce.sharif.ac.ir
194.225.46.127  Automation7.ce.sharif.ac.ir
194.225.46.132  sim0.ce.sharif.ac.ir
194.225.46.133  sim1.ce.sharif.ac.ir
194.225.46.134  sim2.ce.sharif.ac.ir
194.225.46.135  sim3.ce.sharif.ac.ir
194.225.46.136  sim4.ce.sharif.ac.ir
194.225.46.137  sim5.ce.sharif.ac.ir
194.225.46.138  rescue.ce.sharif.ac.ir
194.225.46.139  rescuerobot.ce.sharif.ac.ir
194.225.46.140  robomid0.ce.sharif.ac.ir
194.225.46.141  robomid1.ce.sharif.ac.ir
194.225.46.142  robomid2.ce.sharif.ac.ir
194.225.46.143  robomid3.ce.sharif.ac.ir
194.225.46.144  robomid4.ce.sharif.ac.ir
194.225.46.145  robomid5.ce.sharif.ac.ir
194.225.46.146  robomid6.ce.sharif.ac.ir
194.225.46.147  robomid7.ce.sharif.ac.ir
194.225.46.148  fpga0.ce.sharif.ac.ir
194.225.46.149  fpga1.ce.sharif.ac.ir
194.225.46.150  fpga2.ce.sharif.ac.ir
194.225.46.151  fpga3.ce.sharif.ac.ir
194.225.46.152  fpga4.ce.sharif.ac.ir
194.225.46.153  fpga5.ce.sharif.ac.ir
194.225.46.154  fpga6.ce.sharif.ac.ir
194.225.46.155  fpga7.ce.sharif.ac.ir
194.225.46.156  ada.ce.sharif.ac.ir
194.225.46.157  AI0.ce.sharif.ac.ir
194.225.46.158  AI1.ce.sharif.ac.ir
194.225.46.159  AI2.ce.sharif.ac.ir
194.225.46.160  AI3.ce.sharif.ac.ir
194.225.46.161  AI4.ce.sharif.ac.ir
194.225.46.162  AI5.ce.sharif.ac.ir
194.225.46.163  AI6.ce.sharif.ac.ir
194.225.46.164  AI7.ce.sharif.ac.ir
194.225.46.165  AI8.ce.sharif.ac.ir
194.225.46.166  AI9.ce.sharif.ac.ir
194.225.46.167  DBLabserv.ce.sharif.ac.ir
194.225.46.168  oslab.ce.sharif.ac.ir
194.225.46.169  mm.ce.sharif.ac.ir
194.225.46.170  dbcm0.ce.sharif.ac.ir
194.225.46.171  dbcm1.ce.sharif.ac.ir
194.225.46.172  emsun2000.ce.sharif.ac.ir
194.225.46.173  sms.ce.sharif.ac.ir
194.225.46.174  ghoghnous.ce.sharif.ac.ir
194.225.46.175  agent.ce.sharif.ac.ir
194.225.46.176  neverhood.ce.sharif.ac.ir
194.225.46.177  granada.ce.sharif.ac.ir
194.225.46.178  pasargad.ce.sharif.ac.ir
194.225.46.179  apadana.ce.sharif.ac.ir
194.225.46.180  koasar.ce.sharif.ac.ir
194.225.46.181  badr.ce.sharif.ac.ir
194.225.46.182  shahriari.ce.sharif.ac.ir
194.225.46.183  Pegasi.ce.sharif.ac.ir
194.225.46.184  Ejlali.ce.sharif.ac.ir
194.225.46.185  planning.ce.sharif.ac.ir
194.225.46.186  keshtgar.ce.sharif.ac.ir
